'BU_CODE';'V01_Strategievariant'
'BU00030000';
'BU00030001';
'BU00030002';
'BU00030007';
'BU00030008';
'BU00030009';
'BU00100101';
'BU00100202';
'BU00100203';
'BU00100204';
'BU00100205';
'BU00100221';
'BU00100306';
'BU00100307';
'BU00100308';
'BU00100309';
'BU00100410';
'BU00100411';
'BU00100412';
'BU00100413';
'BU00100414';
'BU00100415';
'BU00100416';
'BU00100417';
'BU00100518';
'BU00100519';
'BU00100520';
'BU00100622';
'BU00100623';
'BU00100624';
'BU00100625';
'BU00100626';
'BU00100646';
'BU00100647';
'BU00100727';
'BU00100728';
'BU00100730';
'BU00100733';
'BU00100734';
'BU00100735';
'BU00100736';
'BU00100737';
'BU00100738';
'BU00100739';
'BU00100829';
'BU00100831';
'BU00100932';
'BU00100940';
'BU00100941';
'BU00100942';
'BU00100943';
'BU00100944';
'BU00100945';
'BU00100948';
'BU00140000';
'BU00140001';
'BU00140002';
'BU00140003';
'BU00140004';
'BU00140005';
'BU00140007';
'BU00140008';
'BU00140100';
'BU00140101';
'BU00140102';
'BU00140103';
'BU00140104';
'BU00140105';
'BU00140106';
'BU00140107';
'BU00140108';
'BU00140109';
'BU00140200';
'BU00140201';
'BU00140202';
'BU00140203';
'BU00140300';
'BU00140301';
'BU00140302';
'BU00140400';
'BU00140401';
'BU00140402';
'BU00140403';
'BU00140404';
'BU00140500';
'BU00140501';
'BU00140502';
'BU00140503';
'BU00140504';
'BU00140505';
'BU00140506';
'BU00140507';
'BU00140508';
'BU00140509';
'BU00140510';
'BU00140511';
'BU00140600';
'BU00140601';
'BU00140602';
'BU00140603';
'BU00140604';
'BU00140605';
'BU00140606';
'BU00140700';
'BU00140701';
'BU00140702';
'BU00140703';
'BU00140704';
'BU00140705';
'BU00140800';
'BU00140801';
'BU00140802';
'BU00140803';
'BU00140804';
'BU00140805';
'BU00140806';
'BU00140807';
'BU00140808';
'BU00140809';
'BU00140810';
'BU00140811';
'BU00140812';
'BU00140900';
'BU00140901';
'BU00140902';
'BU00140903';
'BU00140904';
'BU00140905';
'BU00140906';
'BU00140907';
'BU00141000';
'BU00141001';
'BU00141002';
'BU00141003';
'BU00141004';
'BU00141005';
'BU00141100';
'BU00141101';
'BU00141102';
'BU00141103';
'BU00141104';
'BU00141105';
'BU00141106';
'BU00141107';
'BU00141200';
'BU00141201';
'BU00141202';
'BU00141203';
'BU00141204';
'BU00141205';
'BU00141206';
'BU00141207';
'BU00141208';
'BU00141209';
