titel;bedrag
[text];[MEUR/Yr]
EmissieRechten_CO2Woning;-45.1874394
EmissieRechten_CO2UitlegWoning;0
EmissieRechten_CO2Utiliteit;-68.7944839
EmissieRechten_CO2UitlegUtil;0
EmissieRechten_CO2Glastuinbouw;-13.8515957
EmissieRechten_CO2UitlegGlTb;0
ElektriciteitsNet_NetkostenWoning;0
ElektriciteitsNet_NetkostenUitlegWoning;0
ElektriciteitsNet_NetkostenUtiliteit;-716.828933
ElektriciteitsNet_NetkostenUitlegUtil;0
ElektriciteitsNet_NetkostenGlastuinbouw;-133.121645
ElektriciteitsNet_NetkostenUitlegGlTb;0
Woning_Gebruiker_maatschappelijk;1129.68599
UitlegWoning_Gebruiker_maatschappelijk;0
Utiliteit_Gebruiker_maatschappelijk;2436.69103
UitlegUtil_Gebruiker_maatschappelijk;0
Glastuinbouw_Gebruiker_maatschappelijk;479.411536
UitlegGlTb_Gebruiker_maatschappelijk;0
