UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;0;0;0;0;0;0;0;0;0;0;0;0
winkel;0;0;0;0;0;0;0;0;0;0;0;0
groothandel;0;0;0;0;0;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0;0;0;0;0;0
verzorging_verpleging;0;0;0;0;0;0;0;0;0;0;0;0
ziekenhuis;0;0;0;0;0;0;0;0;0;0;0;0
onderwijs;0;0;0;0;0;0;0;0;0;0;0;0
horeca;0;0;0;0;0;0;0;0;0;0;0;0
overig;0;0;0;0;0;0;0;0;0;0;0;0
