titel;bedrag
[text];[MEUR/Yr]
KL_e_projectmanagemente;0.80309615
WijkDistributeur_GeoThermie;10.0809107
WijkDistributeur_RestWarmte;83.5788266
WijkDistributeur_BioWKK;6.28152435
WijkDistributeur_WijkWKK;0
PrimairTransporteur_GeoThermie;0
PrimairTransporteur_RestWarmte;12.2019407
PrimairTransporteur_BioWKK;0
PrimairTransporteur_WijkWKK;0
GeoThermie_;2.42730151
RestWarmte_;6.06705305
BioWKK_;5.9609724
WijkWKK_;0
Leverancier_GeoThermie;3.91467859
Leverancier_RestWarmte;19.2751756
Leverancier_BioWKK;3.08533673
Leverancier_WijkWKK;0
KL_e_projectmanagement_WKO;0
