titel;bedrag
[text];[MEUR/Yr]
Leverancier_Aansluitbijdrage_GeoThermie_Woning;-1.73421401
Leverancier_Aansluitbijdrage_RestWarmte_Woning;-3.58469675
Leverancier_Aansluitbijdrage_BioWKK_Woning;-0.617122246
Leverancier_Aansluitbijdrage_WijkWKK_Woning;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegWoning;-0.0755338409
Leverancier_Aansluitbijdrage_RestWarmte_UitlegWoning;-1.29481524
Leverancier_Aansluitbijdrage_BioWKK_UitlegWoning;-0.0430699017
Leverancier_Aansluitbijdrage_WijkWKK_UitlegWoning;0
Leverancier_Aansluitbijdrage_GeoThermie_Utiliteit;-5.61748718
Leverancier_Aansluitbijdrage_RestWarmte_Utiliteit;-12.1358616
Leverancier_Aansluitbijdrage_BioWKK_Utiliteit;-4.24798345
Leverancier_Aansluitbijdrage_WijkWKK_Utiliteit;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegUtil;-0.0218154077
Leverancier_Aansluitbijdrage_RestWarmte_UitlegUtil;-0.0478791761
Leverancier_Aansluitbijdrage_BioWKK_UitlegUtil;-0.0339112786
Leverancier_Aansluitbijdrage_WijkWKK_UitlegUtil;0
Leverancier_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
Leverancier_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
Leverancier_Aansluitbijdrage_BioWKK_Glastuinbouw;0
Leverancier_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
Leverancier_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
Leverancier_Aansluitbijdrage_BioWKK_UitlegGlTb;0
Leverancier_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
InpandigeDistributie_GeoThermie;0.836728191
InpandigeDistributie_RestWarmte;3.13523916
InpandigeDistributie_BioWKK;0.942406427
InpandigeDistributie_WijkWKK;0
InpandigeDistributeur_GeoThermie_EIA;0
InpandigeDistributeur_RestWarmte_EIA;0
InpandigeDistributeur_BioWKK_EIA;0
InpandigeDistributeur_WijkWKK_EIA;0
WijkDistributie_GeoThermie;-22.0958508
WijkDistributie_RestWarmte;-50.6403743
WijkDistributie_BioWKK;-14.2242105
WijkDistributie_WijkWKK;0
WijkDistributeur_GeoThermie_EIA;0
WijkDistributeur_RestWarmte_EIA;0
WijkDistributeur_BioWKK_EIA;0
WijkDistributeur_WijkWKK_EIA;0
PrimairTransport_GeoThermie;0
PrimairTransport_RestWarmte;-13.7311344
