titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-923.733655
EnergieHeffing_AardGas;-581.039011
GasNet_Vastrecht;-432.774287
Elektriciteit_maatschappelijk;-2882.07176
EnergieHeffing_Elektriciteit;-765.273382
ElektriciteitsNet_Vastrecht;-779.652355
Utiliteit_Eigenaar_VergoedingLabelSprong;-9.43382534
Utiliteit_Eigenaar_VergoedingZonPV;0
Utiliteit_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-32.3895741
Leverancier_Vastrecht_RestWarmte;-114.135725
Leverancier_Vastrecht_BioWKK;-28.1455159
Leverancier_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-84.0272726
Leverancier_Warmte_RestWarmte;-221.343655
Leverancier_Warmte_BioWKK;-53.9420991
Leverancier_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;-161.089264
Comfort_Koude_WKO;0
