name;Oj_Totaal;Kj_Totaal;Oj_Netto;LokaleOpwekking;Gebouw;Admin;Comfort;InpandigeDistributie;WijkDistributie;PrimairTransport;Opwekking;InpandigeDistributeur;WijkDistributeur;PrimairTransporteur;Leverancier;KL_p;KL_e;BTW;Subsidie;Woning_Eigenaar;UitlegWoning_Eigenaar;Utiliteit_Eigenaar;UitlegUtil_Eigenaar;Glastuinbouw_Eigenaar;UitlegGlTb_Eigenaar;GeoThermie;RestWarmte;WKO;BioWKK;WijkWKK
[text];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr]
LokaleOpwekking;8.645031;0;8.645031;0;0;0;0;0;0;0;0;0;0;0;0;0;8.645031;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebouw;1168.50829;0;1168.50829;0;0;0;0;0;0;0;0;0;0;0;0;0;1168.50829;0;0;0;0;0;0;0;0;0;0;0;0;0
Admin;12.37245;0;12.37245;0;0;0;0;0;0;0;0;0;0;0;0;0;12.37245;0;0;0;0;0;0;0;0;0;0;0;0;0
Comfort;3.74575;0;3.74575;0;0;0;0;0;0;0;0;0;0;0;0;0;3.74575;0;0;0;0;0;0;0;0;0;0;0;0;0
InpandigeDistributie;1387.98479;0;1387.98479;0;0;0;0;0;0;0;0;0;0;0;0;1387.98479;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkDistributie;2531.49661;0;2531.49661;0;0;0;0;0;0;0;0;0;0;0;0;2531.49661;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PrimairTransport;211.541014;0;211.541014;0;0;0;0;0;0;0;0;0;0;0;0;211.541014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Opwekking;3278.25586;0;3278.25586;0;0;0;0;0;0;0;0;0;0;0;0;3278.25586;0;0;0;0;0;0;0;0;0;0;0;0;0;0
InpandigeDistributeur;0;1387.98479;-1387.98479;0;0;0;0;0;0;0;0;0;0;0;0;-1387.98479;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkDistributeur;0;2531.49661;-2531.49661;0;0;0;0;0;0;0;0;0;0;0;0;-2531.49661;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PrimairTransporteur;0;211.541014;-211.541013;0;0;0;0;0;0;0;0;0;0;0;0;-211.541013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leverancier;3579.61535;0;3579.61535;0;0;0;0;0;0;0;0;0;0;0;0;3579.61535;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KL_p;10988.8936;10988.8936;1E-06;0;0;0;0;-1387.98479;-2531.49661;-211.541013;-3278.25586;1387.98479;2531.49661;211.541014;-3579.61535;0;3579.61535;0;0;0;0;0;0;0;0;485.460303;75.348499;2568.42275;149.02431;0
KL_e;5574.2356;5574.2356;-1E-06;-8.64503;-1168.50829;-12.372449;-3.745749;0;0;0;0;0;0;0;0;-3579.61535;0;-801.348734;0;1338.12193;3680.97815;553.746569;1.388957;0;0;0;0;0;0;0
BTW;801.348735;0;801.348735;0;0;0;0;0;0;0;0;0;0;0;0;0;801.348735;0;0;0;0;0;0;0;0;0;0;0;0;0
Subsidie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Woning_Eigenaar;0;1338.12193;-1338.12193;0;0;0;0;0;0;0;0;0;0;0;0;0;-1338.12193;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegWoning_Eigenaar;0;3680.97815;-3680.97815;0;0;0;0;0;0;0;0;0;0;0;0;0;-3680.97815;0;0;0;0;0;0;0;0;0;0;0;0;0
Utiliteit_Eigenaar;0;553.746569;-553.746568;0;0;0;0;0;0;0;0;0;0;0;0;0;-553.746568;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegUtil_Eigenaar;0;1.388957;-1.388956;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.388956;0;0;0;0;0;0;0;0;0;0;0;0;0
Glastuinbouw_Eigenaar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegGlTb_Eigenaar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GeoThermie;0;485.460303;-485.460302;0;0;0;0;0;0;0;0;0;0;0;0;-485.460302;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestWarmte;0;75.348499;-75.348498;0;0;0;0;0;0;0;0;0;0;0;0;-75.348498;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WKO;0;2568.42275;-2568.42275;0;0;0;0;0;0;0;0;0;0;0;0;-2568.42275;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;0;149.02431;-149.024309;0;0;0;0;0;0;0;0;0;0;0;0;-149.024309;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
