WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;20503.306;1371.19794;4.36175309;0;8.1181359;3241.77292;15877.8553
vrijstaand/bungalows;120707.294;5098.59615;34.9303832;0;10.510407;76967.0232;38596.2335
twee onder een kap;122187.519;6089.34036;31.1360284;0;11.9394848;86727.0159;29328.0877
rijtjeshuizen/eengezins;421061.605;24266.4983;102.989212;0;21.1162986;353942.364;42728.6374
flats 4 of minder verdiepingen;114769.004;8243.06195;19.3730668;0;28.4309329;67598.9537;38879.1845
flats meer dan 4 verdiepingen;58308.9726;4788.97185;5.88644954;0;6.18688002;36871.7752;16636.1523
etagewoning/maisonnette;62932.2989;4981.93797;8.28148926;0;12.5485111;33718.2872;24211.2438
etage/flats grachtenpand;6503.98107;547.401139;0.709561827;0;1.01349745;313.18463;5641.67225
herenhuis grachtenpand;15537.9861;1062.29299;2.78799571;0;4.78488709;1770.23048;12697.8897
zelfstandige bejaardenwoning;28354.7802;2130.51254;3.99723886;0;7.21155767;8755.14605;17457.9128
boerderij/tuinderij;12018.4504;508.130729;4.6879816;0;4.09320192;288.845213;11212.6932
studentenwoning/flat;5537.14329;379.82713;0.725553083;0;0.750592626;1244.7715;3911.06851
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;31547.7677;1933.8801;6.41688019;0;12.3240325;4330.5765;25264.5702
