UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71431295.9;11421432.3;3381425.87;0;3040681.55;3401359.73;49992941.7
Winkel;52861541.9;4898253.82;1959137.19;0;939885.479;2053093.21;43011170.2
Gezondheidszorg;21553850.3;1554465.33;1360092.62;0;531415.203;2315745.67;15765504.2
Logies;14530265.2;689282.319;228803.601;0;985155.844;717063.29;11909878.1
Onderwijs;38849237.2;3644299.15;465491.901;0;121504.641;3103340.35;31514573.2
Industrie;41075319.5;2245132.38;91960.7806;0;320109.574;1825740.83;36592332.2
Bijeenkomst;33366779.6;3363946.9;854855.935;0;541924.931;1474174.54;27123049.6
Sport;13133561;595948.038;62804.6031;0;93508.3491;807348.132;11573951.8
overige_gebruiks;37161472.2;4180746.88;606554.665;0;361660.645;2524768.14;29487741.9
Cel;891825.209;101818;0;0;52979;102188.749;632599.376
