titel;bedrag
[text];[MEUR/Yr]
Netwerk_kapitaallasten;-1467.8632
Netwerk_verwijderkosten;-41.7287781
Onderhoud_;-3045.65566
AardGas_Netkosten_Woning;1224.97918
AardGas_Netkosten_UitlegWoning;64.3483928
AardGas_Netkosten_Utiliteit;353.42442
AardGas_Netkosten_UitlegUtil;20.1131123
AardGas_Netkosten_Glastuinbouw;263.417882
AardGas_Netkosten_UitlegGlTb;0
Woning_Gebruiker_Vastrecht;1173.26479
UitlegWoning_Gebruiker_Vastrecht;89.8848306
Utiliteit_Gebruiker_Vastrecht;423.34226
UitlegUtil_Gebruiker_Vastrecht;55.8787068
Glastuinbouw_Gebruiker_Vastrecht;0
UitlegGlTb_Gebruiker_Vastrecht;0
KL_e_Aansluitbijdrage_Woning;0
KL_e_Aansluitbijdrage_UitlegWoning;19.8000281
KL_e_Aansluitbijdrage_Utiliteit;0
KL_e_Aansluitbijdrage_UitlegUtil;9.23181329
KL_e_Aansluitbijdrage_Glastuinbouw;0
KL_e_Aansluitbijdrage_UitlegGlTb;0
