titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;0
KL_e_Elektriciteit;0
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;-2.62987
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;-1.12551581
KL_e_Gebouwverbetering;-12.7975781
KL_e_Aansluitbijdrage_GeoThermie;-7.08475302
KL_e_Aansluitbijdrage_RestWarmte;-14.2646337
KL_e_Aansluitbijdrage_BioWKK;-4.7055133
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_Aansluitbijdrage_WKO;-29.5849125
Utiliteit_Gebruiker_VergoedingLabelSprong;16.6900987
Utiliteit_Gebruiker_VergoedingZonPV;0
Utiliteit_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
