titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;0
KL_e_Elektriciteit;0
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;0
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;0
BTW_LokaleOpwekking_OA;0
KL_e_Gebouwverbetering;-78.6569588
KL_e_Aansluitbijdrage_GeoThermie;-1.86797373
KL_e_Aansluitbijdrage_RestWarmte;-3.75930448
KL_e_Aansluitbijdrage_BioWKK;-0.642587272
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_projectmanagement;-0.987832405
KL_e_ongeriefsvergoeding;-0.298583035
Comfort_HuurVerlaging;-15.84824
KL_e_Aansluitbijdrage_WKO;0
KL_e_projectmanagement_WKO;0
KL_e_ongeriefsvergoeding_WKO;0
Woning_Gebruiker_VergoedingLabelSprong;87.7180275
Woning_Gebruiker_VergoedingZonPV;0
Woning_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
KL_e_EIA;0
Subsidie_EEA;0
Leverancier_Verrekening;17.1346554
KL_e_EIA_WKO;0
Subsidie_EEA_WKO;0
Leverancier_VerrekeningWKO;0
