titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-2326.63832
EnergieHeffing_AardGas;-1882.68613
BTW_Aardgas;-883.958133
GasNet_Vastrecht;-1173.26479
BTW_VastrechtGasNet;-246.385606
Elektriciteit_maatschappelijk;-1796.98727
EnergieHeffing_Elektriciteit;-1944.97446
BTW_Elektriciteit;-785.811962
ElektriciteitsNet_Vastrecht;-1776.80184
BTW_VastrechtElektriciteitsNet;-373.128386
Woning_Eigenaar_VergoedingLabelSprong;-87.7180275
Woning_Eigenaar_VergoedingZonPV;0
Woning_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-6.07319306
Leverancier_Vastrecht_RestWarmte;-58.641783
Leverancier_Vastrecht_BioWKK;-2.08919242
Leverancier_Vastrecht_WijkWKK;0
BTW_Vastrecht_GeoThermie;-1.27537054
BTW_Vastrecht_RestWarmte;-12.3147744
BTW_Vastrecht_BioWKK;-0.438730409
BTW_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-18.6404156
Leverancier_Warmte_RestWarmte;-183.253271
Leverancier_Warmte_BioWKK;-6.90582423
Leverancier_Warmte_WijkWKK;0
BTW_Warmte_GeoThermie;-3.91448727
BTW_Warmte_RestWarmte;-38.4831868
BTW_Warmte_BioWKK;-1.45022309
BTW_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;0
BTW_Verbruik_WKO;0
Comfort_Koude_WKO;0
