Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;1017.57318;0;1017.57318;58.2468934;0;8.33171895;0;0;0;69.1956415;57.9867775;800.722697;0;23.0894545;0
LokaleOpwekking;130.400604;0;130.400604;0;0;2.02460261;0;0;0;123.216611;0.000663931023;0;0;5.15872597;0
Gas;6494.23445;0;6494.23445;3499.90311;233.620959;1131.71288;103.455074;578.578562;0;68.1755783;13.7095801;0;0;7.5164943;857.562215
Elektra;10540.9458;0;10540.9458;3531.50705;1217.64338;4298.62175;466.087777;707.962865;0;0;0;404.856608;0;-25.3357548;-60.3978365
RestWarmte;669.135073;652.056023;17.0790503;244.528022;47.1131116;322.022234;9.49877613;45.9729295;0;0;0;0;0;0;0
GeoThermie;148.724012;138.885006;9.83900652;26.0219136;1.10946594;120.131686;1.27303306;0.187913529;0;0;0;0;0;0;0
WKO;1801.97366;1539.58804;262.385619;0;1609.72806;192.245599;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;88.5078084;79.0300728;9.47773565;9.44507656;0.44648563;77.4980812;1.11816503;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;31.1430387;0;31.1430387;0;-333.165591;1.12551581;0;0;0;269.29666;35.3467169;5.45419383;0;53.0855432;0
CO2 Heffing;152.111978;0;152.111978;42.2820534;13.4228657;67.793935;7.25812078;13.8515957;0;0;0;7.50340695;0;0;0
Energie heffing;6052.63621;797.164379;5255.47183;3827.66058;369.735555;1320.33061;191.431426;138.06077;0;58.472687;11.7584039;128.739443;0;6.44673107;0
BTW;3232.01841;0;3232.01841;2355.94637;733.492175;0;0;0;0;46.9422807;4.77940996;87.5896702;0;3.26849898;0
RisicoPremie;328.482461;0;328.482461;13.5030866;134.158936;23.8101647;14.4278582;-9.53674316E-13;0;16.7565639;15.3034538;104.722018;0;5.80037957;0
