UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71237077.3;373510.884;43015306.1;566463.102;0;0;35936424.8;13913361.5;100256.593;15429306;0;5291265.36
Winkel;52719860.9;35.1151754;35254325.7;37.1151754;0;0;21417890.5;8737227.95;156849.483;16694262.7;0;5713593.1
Gezondheidszorg;21546293;56276.477;13486163.9;82894.1725;0;0;9730028.51;4103748.86;87783.8653;6307248.61;0;1234588.98
Logies;14528370.2;2638.27809;8512766;2720.27809;0;0;7303184.52;2670155.04;37729.7871;3549291.21;0;965289.336
Onderwijs;38876044;136.233831;26545123.2;164.233831;0;0;14448438.5;8367978.64;83353.3041;14385688.8;0;1590420.53
Industrie;41055356.6;388.139402;20969373.8;431.749412;0;0;23203742.8;8172892.48;372092.191;8361645.17;0;944552.253
Bijeenkomst;33356566.1;50247.7008;25319683.5;59073.0054;0;0;10081980.7;4936035.84;110288.409;11441852;0;6727336.18
Sport;13129550;0;8451059.65;0;0;0;5804145.37;3830340.64;57469.2308;3165876.65;0;271718.141
overige_gebruiks;37147693.7;0;21468590.3;0;0;0;18140820.3;5569233.04;152726.735;11655967.5;0;1628946.06
Cel;891728.049;7886.23236;540407.142;3428.33315;0;10355;596818.908;232664.929;0;48460.8799;0;0
