woningtype_bouwjaarklasse;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;280969;0;0;0;0;0;0
vrijstaand_tussen 1946 en 1965 ;139439;0;0;0;0;0;0
vrijstaand_tussen 1965 en 1974 ;111875;0;0;0;0;0;0
vrijstaand_tussen 1975 en 1991 ;182135;0;0;0;0;0;0
vrijstaand_tussen 1992 en 2005 ;187691;0;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;81506;0;0;0;0;0;0
2 onder 1 kap_voor 1946 ;174594;0;0;0;0;0;0
2 onder 1 kap_tussen 1946 en 1965 ;130138;0;0;0;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;85001;0;0;0;0;0;0
2 onder 1 kap_tussen 1975 en 1991 ;121108;0;0;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;99150;0;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;52272;0;0;0;0;0;0
rijwoning hoek_voor 1946 ;123780;0;0;0;0;0;0
rijwoning hoek_tussen 1946 en 1965 ;127325;0;0;0;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;163622;0;0;0;0;0;0
rijwoning hoek_tussen 1975 en 1991 ;313768;0;0;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;127574;0;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;68164;0;0;0;0;0;0
rijwoning tussen_voor 1946 ;321935;0;0;0;0;0;0
rijwoning tussen_tussen 1946 en 1965 ;234668;0;0;0;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;336560;0;0;0;0;0;0
rijwoning tussen_tussen 1975 en 1991 ;711041;0;0;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;356336;0;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;178669;0;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;372707;0;0;0;0;0;0
meergezins: laag en midden_tussen 1946 en 1965 ;203435;0;0;0;0;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;144349;0;0;0;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;415673;0;0;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;250758;0;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;381092;0;0;0;0;0;0
meergezins: hoog_voor 1946 ;184477;0;0;0;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;139372;0;0;0;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;234144;0;0;0;0;0;0
meergezins: hoog_tussen 1975 en 1991 ;150394;0;0;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;142439;0;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;75181;0;0;0;0;0;0
