name;Oj_Totaal;Kj_Totaal;Oj_Netto;Netwerk;GasNet;ElektriciteitsNet;AardGas;Elektriciteit;LokaleOpwekking;Gebouw;Onderhoud;Admin;Comfort;InpandigeDistributie;WijkDistributie;PrimairTransport;Opwekking;WarmteInkoop;InpandigeDistributeur;WijkDistributeur;PrimairTransporteur;Leverancier;KL_p;KL_e;EmissieRechten;BTW;Precario;EnergieHeffing;Subsidie;Woning_Eigenaar;UitlegWoning_Eigenaar;Utiliteit_Eigenaar;UitlegUtil_Eigenaar;Glastuinbouw_Eigenaar;UitlegGlTb_Eigenaar;Woning_Gebruiker;UitlegWoning_Gebruiker;Utiliteit_Gebruiker;UitlegUtil_Gebruiker;Glastuinbouw_Gebruiker;UitlegGlTb_Gebruiker;GeoThermie;RestWarmte;WKO;BioWKK;WijkWKK
[text];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr]
Netwerk;2417.6989;0;2417.6989;0;1566.34391;851.354981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GasNet;3592.30401;4712.89132;-1120.58731;-1566.34391;0;0;1838.28794;0;0;0;-3146.5474;0;0;0;0;0;0;0;0;0;0;0;0;37.282135;0;0;0;0;0;0;0;0;0;0;0;1129.15421;114.892444;400.214337;72.472944;0;0;0;0;0;0;0
ElektriciteitsNet;4429.49433;4335.0488;94.445533;-851.35498;0;0;0;1121.69412;0;0;-3483.69381;0;0;0;0;0;0;0;0;0;0;0;0;80.486325;0;0;0;0;0;0;0;0;0;0;0;1714.14408;627.592332;773.792888;111.784584;0;0;0;0;0;0;0
AardGas;3815.24734;1838.28794;1976.95939;0;-1838.28794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.49898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2267.11702;159.97931;662.906985;49.502109;582.242935;0;0;0;0;0;0
Elektriciteit;8586.42274;1440.89461;7145.52813;0;0;-1121.69412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-319.200487;0;0;0;0;0;0;0;0;0;0;1876.75486;1016.26334;3793.32989;552.650078;770.295045;0;0;0;577.129517;0;0
LokaleOpwekking;10.737843;0;10.737843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.737843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebouw;89.226751;0;89.226751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.226751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Onderhoud;6806.53027;0;6806.53027;0;3146.5474;3483.69382;0;0;0;0;0;0;0;0;0;0;0;0;11.750651;126.888517;13.17188;0;0;0;0;0;0;0;0;0;0;5.969375;0;0;0;0;0;0;0;0;0;2.747855;4.911009;6.387939;4.46182;0
Admin;154.313064;0;154.313064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.022145;13.17188;29.127009;0;0.871346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.747855;4.911009;0;4.46182;0
