titel;bedrag
[text];[MEUR/Yr]
Woning_Gebruiker_Aardgas;849.470112
UitlegWoning_Gebruiker_Aardgas;60.2953461
Woning_Gebruiker_VastrechtGasNet;237.122384
UitlegWoning_Gebruiker_VastrechtGasNet;24.1274133
KL_e_Aansluitbijdrage_AardGasWoning;0
KL_e_Aansluitbijdrage_AardGasUitlegWoning;5.31483966
Woning_Gebruiker_Elektriciteit;788.237042
UitlegWoning_Gebruiker_Elektriciteit;288.313097
Woning_Gebruiker_VastrechtElektriciteitsNet;359.970257
UitlegWoning_Gebruiker_VastrechtElektriciteitsNet;131.79439
KL_e_ElektriciteitAansluitbijdrageWoning;0
KL_e_ElektriciteitAansluitbijdrageUitlegWoning;14.1873153
KL_e_Woning30j;0
KL_e_UitlegWoning30j;0
KL_e_Woning15j;0
KL_e_UitlegWoning15j;0
Woning_Eigenaar_LokaleOpwekking_OA;0
UitlegWoning_Eigenaar_LokaleOpwekking_OA;0
KL_e_GebouwverbeteringWoning;7.29042539
KL_e_GebouwverbeteringUitlegWoning;0
KL_e_Aansluitbijdrage_GeoThermie_Woning;0.292101428
KL_e_Aansluitbijdrage_RestWarmte_Woning;0.508466385
KL_e_Aansluitbijdrage_BioWKK_Woning;0.0876156465
KL_e_Aansluitbijdrage_WijkWKK_Woning;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegWoning;0.284773663
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;0.536846354
KL_e_Aansluitbijdrage_BioWKK_UitlegWoning;0.0404066865
KL_e_Aansluitbijdrage_WijkWKK_UitlegWoning;0
Woning_Gebruiker_Vastrecht_GeoThermie;1.35594412
Woning_Gebruiker_Vastrecht_RestWarmte;11.3716971
Woning_Gebruiker_Vastrecht_BioWKK;0.406714618
Woning_Gebruiker_Vastrecht_WijkWKK;0
UitlegWoning_Gebruiker_Vastrecht_GeoThermie;0.184253659
UitlegWoning_Gebruiker_Vastrecht_RestWarmte;3.03340144
UitlegWoning_Gebruiker_Vastrecht_BioWKK;0.0261438496
UitlegWoning_Gebruiker_Vastrecht_WijkWKK;0
Woning_Gebruiker_Warmte_GeoThermie;4.46979555
Woning_Gebruiker_Warmte_RestWarmte;37.9096522
Woning_Gebruiker_Warmte_BioWKK;1.43171021
Woning_Gebruiker_Warmte_WijkWKK;0
UitlegWoning_Gebruiker_Warmte_GeoThermie;0.485147546
UitlegWoning_Gebruiker_Warmte_RestWarmte;8.00746769
UitlegWoning_Gebruiker_Warmte_BioWKK;0.0715110142
UitlegWoning_Gebruiker_Warmte_WijkWKK;0
KL_e_Aansluitbijdrage_WKO_Woning;0
KL_e_Aansluitbijdrage_WKO_UitlegWoning;194.854397
Woning_Gebruiker_Verbruik_WKO;0
UitlegWoning_Gebruiker_Verbruik_WKO;312.20266
