titel;bedrag
[text];[MEUR/Yr]
KL_p_GeoThermie;3.79367786
KL_p_RestWarmte;6.23452421
KL_p_BioWKK;1.21684033
KL_p_WijkWKK;0
Onderhoud_GeoThermie;-1.56549058
Onderhoud_RestWarmte;-9.77993876
Onderhoud_BioWKK;-0.405221784
Onderhoud_WijkWKK;0
KL_p_WKO;-229.564855
KL_p_GeoThermie_EIA;0
KL_p_RestWarmte_EIA;0
KL_p_BioWKK_EIA;0
KL_p_WijkWKK_EIA;0
Subsidie_GeoThermie_EEA;0
Subsidie_RestWarmte_EEA;0
Subsidie_BioWKK_EEA;0
Subsidie_WijkWKK_EEA;0
Leverancier_Verrekening;0.505608725
KL_p_WKO_EIA;0
Subsidie_WKO_EEA;0
Leverancier_VerrekeningWKO;229.564855
