titel;bedrag
[text];[MEUR/Yr]
GasNet_Aansluitbijdrage_Woning;0
GasNet_Aansluitbijdrage_UitlegWoning;-25.3087603
GasNet_Aansluitbijdrage_Utiliteit;0
GasNet_Aansluitbijdrage_UitlegUtil;-11.9733745
GasNet_Aansluitbijdrage_Glastuinbouw;0
GasNet_Aansluitbijdrage_UitlegGlTb;0
BTW_Aansluitbijdrage_AardGasWoning;0
BTW_Aansluitbijdrage_AardGasUitlegWoning;-5.31483966
ElektriciteitsNet_AansluitbijdrageWoning;0
ElektriciteitsNet_AansluitbijdrageUitlegWoning;-67.5586442
ElektriciteitsNet_AansluitbijdrageUtiliteit;0
ElektriciteitsNet_AansluitbijdrageUitlegUtil;-12.9276808
ElektriciteitsNet_AansluitbijdrageGlastuinbouw;0
ElektriciteitsNet_AansluitbijdrageUitlegGlTb;0
BTW_ElektriciteitAansluitbijdrageWoning;0
BTW_ElektriciteitAansluitbijdrageUitlegWoning;-14.1873153
LokaleOpwekking_Woning30j;0
LokaleOpwekking_UitlegWoning30j;0
LokaleOpwekking_Utiliteit30j;0
LokaleOpwekking_UitlegUtil30j;0
LokaleOpwekking_Glastuinbouw30j;0
LokaleOpwekking_UitlegGlTb30j;0
BTW_Woning30j;0
BTW_UitlegWoning30j;0
LokaleOpwekking_Woning15j;0
LokaleOpwekking_UitlegWoning15j;0
LokaleOpwekking_Utiliteit15j;-10.737843
LokaleOpwekking_UitlegUtil15j;0
LokaleOpwekking_Glastuinbouw15j;0
LokaleOpwekking_UitlegGlTb15j;0
BTW_Woning15j;0
BTW_UitlegWoning15j;0
Gebouw_GebouwverbeteringWoning;-54.0031511
Gebouw_GebouwverbeteringUitlegWoning;0
Gebouw_GebouwverbeteringUtiliteit;-35.2236001
Gebouw_GebouwverbeteringUitlegUtil;0
Gebouw_GebouwverbeteringGlastuinbouw;0
Gebouw_GebouwverbeteringUitlegGlTb;0
BTW_GebouwverbeteringWoning;-7.29042539
BTW_GebouwverbeteringUitlegWoning;0
Woning_Eigenaar_EIA30;0
UitlegWoning_Eigenaar_EIA30;0
Utiliteit_Eigenaar_EIA30;0
UitlegUtil_Eigenaar_EIA30;0
Glastuinbouw_Eigenaar_EIA30;0
UitlegGlTb_Eigenaar_EIA30;0
Woning_Eigenaar_EIA15;0
UitlegWoning_Eigenaar_EIA15;0
Utiliteit_Eigenaar_EIA15;0
UitlegUtil_Eigenaar_EIA15;0
Glastuinbouw_Eigenaar_EIA15;0
UitlegGlTb_Eigenaar_EIA15;0
BTW_Aansluitbijdrage_GeoThermie_Woning;-0.292101428
BTW_Aansluitbijdrage_RestWarmte_Woning;-0.508466385
BTW_Aansluitbijdrage_BioWKK_Woning;-0.0876156465
BTW_Aansluitbijdrage_WijkWKK_Woning;0
BTW_Aansluitbijdrage_GeoThermie_UitlegWoning;-0.284773663
BTW_Aansluitbijdrage_RestWarmte_UitlegWoning;-0.536846354
BTW_Aansluitbijdrage_BioWKK_UitlegWoning;-0.0404066865
BTW_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Woning;-1.39095918
KL_p_Aansluitbijdrage_RestWarmte_Woning;-2.4212685
KL_p_Aansluitbijdrage_BioWKK_Woning;-0.417217364
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;-1.35606506
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;-2.55641121
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;-0.192412793
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;-5.75618405
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;-9.55779139
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;-2.87236347
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;-0.202818495
