titel;bedrag
[text];[MEUR/Yr]
Woning_Eigenaar_Verrekening;-17.1610587
InpandigeDistributeur_Verrekening;-0.505608725
WijkDistributeur_Verrekening;-577.946355
PrimairTransporteur_Verrekening;-54.2888335
GeoThermie_Verrekening;-61.7827944
RestWarmte_Verrekening;-157.713211
BioWKK_Verrekening;-56.4967927
WijkWKK_Verrekening;0
Admin_GeoThermie;-5.75925968
Admin_RestWarmte;-20.2459807
Admin_BioWKK;-3.12176815
Admin_WijkWKK;0
Woning_Eigenaar_VerrekeningWKO;0
InpandigeDistributeur_VerrekeningWKO;-229.564855
WijkDistributeur_VerrekeningWKO;-658.456758
WKO_Verrekening;-1733.43431
KL_p_Aansluitbijdrage_GeoThermie_Woning;1.72887936
KL_p_Aansluitbijdrage_RestWarmte_Woning;3.00949244
KL_p_Aansluitbijdrage_BioWKK_Woning;0.518576318
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;1.68550805
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;3.17746678
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;0.239157634
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;7.15459371
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;11.8797651
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;3.5701766
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;0.252091302
KL_p_Aansluitbijdrage_RestWarmte_UitlegUtil;0.439555162
KL_p_Aansluitbijdrage_BioWKK_UitlegUtil;0.128573933
KL_p_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_p_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_p_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_p_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_p_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
Woning_Gebruiker_Vastrecht_GeoThermie;6.45687676
Woning_Gebruiker_Vastrecht_RestWarmte;54.1509384
Woning_Gebruiker_Vastrecht_BioWKK;1.93673628
Woning_Gebruiker_Vastrecht_WijkWKK;0
UitlegWoning_Gebruiker_Vastrecht_GeoThermie;0.877398375
UitlegWoning_Gebruiker_Vastrecht_RestWarmte;14.4447688
UitlegWoning_Gebruiker_Vastrecht_BioWKK;0.124494522
UitlegWoning_Gebruiker_Vastrecht_WijkWKK;0
Utiliteit_Gebruiker_Vastrecht_GeoThermie;47.5394899
Utiliteit_Gebruiker_Vastrecht_RestWarmte;123.614654
Utiliteit_Gebruiker_Vastrecht_BioWKK;27.7956796
Utiliteit_Gebruiker_Vastrecht_WijkWKK;0
UitlegUtil_Gebruiker_Vastrecht_GeoThermie;2.71883172
UitlegUtil_Gebruiker_Vastrecht_RestWarmte;10.2494466
UitlegUtil_Gebruiker_Vastrecht_BioWKK;1.3607711
UitlegUtil_Gebruiker_Vastrecht_WijkWKK;0
Glastuinbouw_Gebruiker_Vastrecht_GeoThermie;0
