titel;bedrag
[text];[MEUR/Yr]
GasNet_;3146.54741
ElektriciteitsNet_;3483.69382
Woning_Eigenaar_LokaleOpwekking;0
UitlegWoning_Eigenaar_LokaleOpwekking;0
Utiliteit_Eigenaar_LokaleOpwekking;5.96937495
UitlegUtil_Eigenaar_LokaleOpwekking;0
Glastuinbouw_Eigenaar_LokaleOpwekking;0
UitlegGlTb_Eigenaar_LokaleOpwekking;0
InpandigeDistributeur_GeoThermie;1.56549058
InpandigeDistributeur_RestWarmte;9.77993876
InpandigeDistributeur_BioWKK;0.405221784
InpandigeDistributeur_WijkWKK;0
WijkDistributeur_GeoThermie;17.3061993
WijkDistributeur_RestWarmte;102.110279
WijkDistributeur_BioWKK;7.47203897
WijkDistributeur_WijkWKK;0
PrimairTransporteur_GeoThermie;0
PrimairTransporteur_RestWarmte;13.1718796
PrimairTransporteur_BioWKK;0
PrimairTransporteur_WijkWKK;0
GeoThermie_;2.74785521
RestWarmte_;4.91100904
BioWKK_;4.46182006
WijkWKK_;0
WKO_;6.38793948
