titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;-38.8542735
KL_e_Elektriciteit;-103.716737
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;0
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;0
BTW_LokaleOpwekking_OA;0
KL_e_Gebouwverbetering;0
KL_e_Aansluitbijdrage_GeoThermie;-1.93616478
KL_e_Aansluitbijdrage_RestWarmte;-3.64999696
KL_e_Aansluitbijdrage_BioWKK;-0.274723451
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_Aansluitbijdrage_WKO;-1324.80727
UitlegWoning_Gebruiker_VergoedingLabelSprong;0
UitlegWoning_Gebruiker_VergoedingZonPV;0
UitlegWoning_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
