titel;bedrag
[text];[MEUR]
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;0
KL_e_EWV;0
KL_e_hWP;0
KL_e_Gebouwverbetering;-1059.89057
KL_e_Aansluitbijdrage_GeoThermie;-28.0449453
KL_e_Aansluitbijdrage_RestWarmte;-48.8183576
KL_e_Aansluitbijdrage_BioWKK;-8.41206437
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_projectmanagement;-13.4239
KL_e_ongeriefsvergoeding;-4.086
KL_e_Aansluitbijdrage_WKO;0
KL_e_projectmanagement_WKO;0
KL_e_ongeriefsvergoeding_WKO;0
KL_e_EIA30;0
KL_e_EIA15;0
KL_e_EIA;0
KL_e_EIA_WKO;0
