Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;40.7118772;0;40.7118772;0;0;0;0;0;0;29.4988487;7.0495488;0;0;4.16347965;0
Gas;427.585685;0;427.585685;245.733745;17.5721609;75.893366;5.39789605;72.2666231;0;7.97266182;1.90528346;0;0;0.843948578;0
Elektra;286.23957;0;286.23957;73.4382337;32.3602767;121.020177;17.7631874;24.9328722;0;0;0;17.7656923;0;-1.04086991;0
RestWarmte;29.4988487;37.4715106;-7.97266182;10.2097049;2.15654529;11.7704141;0.274524215;5.0876603;0;0;0;0;0;0;0
GeoThermie;7.0495488;8.95483226;-1.90528346;1.20379088;0.130658367;5.60996919;0.0753379592;0.029792403;0;0;0;0;0;0;0
WKO;47.6310428;17.7656923;29.8653505;0;42.9006924;4.69028173;0.0400687184;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;3.12260974;3.96655831;-0.843948578;0.385583562;0.019259115;2.67725687;0.040510188;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
