GlasTuinBouwType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
onbekend;0;0;0;0;0;0;0
Glastuinbouw_groente_verwarmd;42826071;3380799;21531;0;0;0;39423741
Glastuinbouw_groente_onverwarmd;2416531;14629;627;0;0;0;2401275
Glastuinbouw_groente_belicht;2856394;367492;1172;0;0;0;2487730
Glastuinbouw_groente_onbelicht;42386208;3027936;20986;0;0;0;39337286
Glastuinbouw_bloemen_verwarmd;44166369;2310003;9251;0;0;0;41847115
Glastuinbouw_bloemen_onverwarmd;2734481;103143;881;0;0;0;2630457
Glastuinbouw_bloemen_belicht;15845669;975955;3099;0;0;0;14866615
Glastuinbouw_bloemen_onbelicht;31055181;1437191;7033;0;0;0;29610957
Glastuinbouw_overig_verwarmd;1684975;18988;2026;0;0;0;1663961
Glastuinbouw_overig_onverwarmd;2054529;9301;124;0;0;0;2045104
Glastuinbouw_overig_belicht;0;0;0;0;0;0;0
Glastuinbouw_overig_onbelicht;0;0;0;0;0;0;0
