titel;bedrag
[text];[MEUR/Yr]
EmissieRechten_CO2Woning;0
EmissieRechten_CO2UitlegWoning;0
EmissieRechten_CO2Utiliteit;0
EmissieRechten_CO2UitlegUtil;0
EmissieRechten_CO2Glastuinbouw;0
EmissieRechten_CO2UitlegGlTb;0
GasNet_Netkosten_Woning;-1090.97617
GasNet_Netkosten_UitlegWoning;-95.1435458
GasNet_Netkosten_Utiliteit;-285.641111
GasNet_Netkosten_UitlegUtil;-33.7365949
GasNet_Netkosten_Glastuinbouw;-247.995406
GasNet_Netkosten_UitlegGlTb;0
Woning_Gebruiker_maatschappelijk;2203.9183
UitlegWoning_Gebruiker_maatschappelijk;194.612095
Utiliteit_Gebruiker_maatschappelijk;611.411515
UitlegUtil_Gebruiker_maatschappelijk;68.5949053
Glastuinbouw_Gebruiker_maatschappelijk;584.560599
UitlegGlTb_Gebruiker_maatschappelijk;0
WijkDistributeur_GeoThermie_bijstook;18.2348924
WijkDistributeur_RestWarmte_bijstook;72.8309967
WijkDistributeur_BioWKK_bijstook;7.3052811
WijkDistributeur_WijkWKK_bijstook;0
