titel;bedrag
[text];[MEUR/Yr]
Woning_Gebruiker_AardGas;1676.73519
UitlegWoning_Gebruiker_AardGas;149.857222
Utiliteit_Gebruiker_AardGas;449.32415
UitlegUtil_Gebruiker_AardGas;52.5167965
Glastuinbouw_Gebruiker_AardGas;81.9270537
UitlegGlTb_Gebruiker_AardGas;0
Woning_Gebruiker_Elektriciteit;1812.13807
UitlegWoning_Gebruiker_Elektriciteit;443.10572
Utiliteit_Gebruiker_Elektriciteit;761.552548
UitlegUtil_Gebruiker_Elektriciteit;276.912961
Glastuinbouw_Gebruiker_Elektriciteit;51.0387916
UitlegGlTb_Gebruiker_Elektriciteit;0
WijkDistributeur_GeoThermie_bijstook;14.651896
WijkDistributeur_RestWarmte_bijstook;58.5203448
WijkDistributeur_BioWKK_bijstook;5.86985744
WijkDistributeur_WijkWKK_bijstook;0
GeoThermie_Opwekking;0
RestWarmte_Opwekking;0
BioWKK_Opwekking;0
WijkWKK_Opwekking;0
WKO_Opwekking;212.252608
