titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-584.560599
EnergieHeffing_AardGas;-81.9270537
GasNet_Vastrecht;0
Elektriciteit_maatschappelijk;-811.849832
EnergieHeffing_Elektriciteit;-51.0387916
ElektriciteitsNet_Vastrecht;0
Glastuinbouw_Eigenaar_VergoedingLabelSprong;0
Glastuinbouw_Eigenaar_VergoedingZonPV;0
Glastuinbouw_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;0
Leverancier_Vastrecht_RestWarmte;0
Leverancier_Vastrecht_BioWKK;0
Leverancier_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-0.340966711
Leverancier_Warmte_RestWarmte;-46.0475223
Leverancier_Warmte_BioWKK;0
Leverancier_Warmte_WijkWKK;0
