titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-68.5949053
EnergieHeffing_AardGas;-52.5167965
GasNet_Vastrecht;-100.824493
Elektriciteit_maatschappelijk;-867.241026
EnergieHeffing_Elektriciteit;-276.912961
ElektriciteitsNet_Vastrecht;-165.710119
UitlegUtil_Eigenaar_VergoedingLabelSprong;0
UitlegUtil_Eigenaar_VergoedingZonPV;0
UitlegUtil_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-5.77527939
Leverancier_Vastrecht_RestWarmte;-19.2802023
Leverancier_Vastrecht_BioWKK;-2.23075362
Leverancier_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-2.71624596
Leverancier_Warmte_RestWarmte;-9.37859716
Leverancier_Warmte_BioWKK;-1.22697122
Leverancier_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;-14.424077
Comfort_Koude_WKO;0
