titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-194.612095
EnergieHeffing_AardGas;-149.857222
BTW_Aardgas;-72.3385566
GasNet_Vastrecht;-138.499216
BTW_VastrechtGasNet;-29.0848353
Elektriciteit_maatschappelijk;-1331.06777
EnergieHeffing_Elektriciteit;-443.10572
BTW_Elektriciteit;-372.576434
ElektriciteitsNet_Vastrecht;-780.818885
BTW_VastrechtElektriciteitsNet;-163.971966
UitlegWoning_Eigenaar_VergoedingLabelSprong;0
UitlegWoning_Eigenaar_VergoedingZonPV;0
UitlegWoning_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-1.55909028
Leverancier_Vastrecht_RestWarmte;-16.1312836
Leverancier_Vastrecht_BioWKK;-0.169556956
Leverancier_Vastrecht_WijkWKK;0
BTW_Vastrecht_GeoThermie;-0.327408958
BTW_Vastrecht_RestWarmte;-3.38756957
BTW_Vastrecht_BioWKK;-0.0356069608
BTW_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-4.29614088
Leverancier_Warmte_RestWarmte;-44.7725927
Leverancier_Warmte_BioWKK;-0.480996677
Leverancier_Warmte_WijkWKK;0
BTW_Warmte_GeoThermie;-0.902189584
BTW_Warmte_RestWarmte;-9.40224447
BTW_Warmte_BioWKK;-0.101009302
BTW_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;-1852.27038
BTW_Verbruik_WKO;-388.976779
Comfort_Koude_WKO;575.527718
