titel;bedrag
[text];[MEUR/Yr]
KL_p_GeoThermie;-45.8846193
KL_p_RestWarmte;-84.0325242
KL_p_BioWKK;-18.3663784
KL_p_WijkWKK;0
Onderhoud_GeoThermie;-19.6111068
Onderhoud_RestWarmte;-104.649396
Onderhoud_BioWKK;-7.11639458
Onderhoud_WijkWKK;0
Admin_GeoThermie;-14.5219363
Admin_RestWarmte;-83.5537655
Admin_BioWKK;-5.1346554
Admin_WijkWKK;0
Precario_GeoThermie;-7.69583372
Precario_RestWarmte;-44.4306633
Precario_BioWKK;-3.40252966
Precario_WijkWKK;0
AardGas_GeoThermie_bijstook;-18.2348924
AardGas_RestWarmte_bijstook;-72.8309967
AardGas_BioWKK_bijstook;-7.3052811
AardGas_WijkWKK_bijstook;0
EnergieHeffing_GeoThermie_bijstook;-14.651896
EnergieHeffing_RestWarmte_bijstook;-58.5203448
EnergieHeffing_BioWKK_bijstook;-5.86985744
EnergieHeffing_WijkWKK_bijstook;0
KL_p_WKO;-850.452437
Precario_WKO;-150.579771
KL_p_GeoThermie_EIA;0
KL_p_RestWarmte_EIA;0
KL_p_BioWKK_EIA;0
KL_p_WijkWKK_EIA;0
Subsidie_GeoThermie_EEA;0
Subsidie_RestWarmte_EEA;0
Subsidie_BioWKK_EEA;0
Subsidie_WijkWKK_EEA;0
Leverancier_Verrekening;615.813071
KL_p_WKO_EIA;0
Subsidie_WKO_EEA;0
Leverancier_VerrekeningWKO;1001.03221
