titel;bedrag
[text];[MEUR]
KL_e_Woning30j;0
KL_e_UitlegWoning30j;0
KL_e_Woning15j;0
KL_e_UitlegWoning15j;0.00859501053
KL_e_GebouwverbeteringWoning;116.602563
KL_e_GebouwverbeteringUitlegWoning;0
KL_e_Aansluitbijdrage_GeoThermie_Woning;4.74055528
KL_e_Aansluitbijdrage_RestWarmte_Woning;8.53645853
KL_e_Aansluitbijdrage_BioWKK_Woning;1.37066326
KL_e_Aansluitbijdrage_WijkWKK_Woning;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegWoning;8.43197094
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;15.3842685
KL_e_Aansluitbijdrage_BioWKK_UitlegWoning;0.917008687
KL_e_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_e_Aansluitbijdrage_WKO_Woning;0
KL_e_Aansluitbijdrage_WKO_UitlegWoning;4995.81051
