titel;bedrag
[text];[MEUR]
LokaleOpwekking_Woning30j;0
LokaleOpwekking_UitlegWoning30j;0
LokaleOpwekking_Utiliteit30j;0
LokaleOpwekking_UitlegUtil30j;0
LokaleOpwekking_Glastuinbouw30j;0
LokaleOpwekking_UitlegGlTb30j;0
BTW_Woning30j;0
BTW_UitlegWoning30j;0
LokaleOpwekking_Woning15j;0
LokaleOpwekking_UitlegWoning15j;-0.0409286216
LokaleOpwekking_Utiliteit15j;-251.125276
LokaleOpwekking_UitlegUtil15j;0
LokaleOpwekking_Glastuinbouw15j;0
LokaleOpwekking_UitlegGlTb15j;0
BTW_Woning15j;0
BTW_UitlegWoning15j;-0.00859501053
Gebouw_GebouwverbeteringWoning;-863.722692
Gebouw_GebouwverbeteringUitlegWoning;0
Gebouw_GebouwverbeteringUtiliteit;-1236.68285
Gebouw_GebouwverbeteringUitlegUtil;0
Gebouw_GebouwverbeteringGlastuinbouw;0
Gebouw_GebouwverbeteringUitlegGlTb;0
BTW_GebouwverbeteringWoning;-116.602563
BTW_GebouwverbeteringUitlegWoning;0
Woning_Eigenaar_EIA30;0
UitlegWoning_Eigenaar_EIA30;0
Utiliteit_Eigenaar_EIA30;0
UitlegUtil_Eigenaar_EIA30;0
Glastuinbouw_Eigenaar_EIA30;0
UitlegGlTb_Eigenaar_EIA30;0
Woning_Eigenaar_EIA15;0
UitlegWoning_Eigenaar_EIA15;0
Utiliteit_Eigenaar_EIA15;0
UitlegUtil_Eigenaar_EIA15;0
Glastuinbouw_Eigenaar_EIA15;0
UitlegGlTb_Eigenaar_EIA15;0
BTW_Aansluitbijdrage_GeoThermie_Woning;-4.74055528
BTW_Aansluitbijdrage_RestWarmte_Woning;-8.53645853
BTW_Aansluitbijdrage_BioWKK_Woning;-1.37066326
BTW_Aansluitbijdrage_WijkWKK_Woning;0
BTW_Aansluitbijdrage_GeoThermie_UitlegWoning;-8.43197094
BTW_Aansluitbijdrage_RestWarmte_UitlegWoning;-15.3842685
BTW_Aansluitbijdrage_BioWKK_UitlegWoning;-0.917008687
BTW_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Woning;-22.5740728
KL_p_Aansluitbijdrage_RestWarmte_Woning;-40.6498025
KL_p_Aansluitbijdrage_BioWKK_Woning;-6.52696791
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;-40.1522426
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;-73.2584216
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;-4.36670803
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;-106.635511
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;-175.230006
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;-45.2768348
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;-7.15928057
KL_p_Aansluitbijdrage_RestWarmte_UitlegUtil;-15.8791079
KL_p_Aansluitbijdrage_BioWKK_UitlegUtil;-2.99278695
KL_p_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_p_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_p_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_p_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_p_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
Admin_projectmanagemente;-14.40585
Comfort_ongeriefsvergoeding;-4.4045
Woning_Eigenaar_EIA;0
BTW_Aansluitbijdrage_WKO_Woning;0
BTW_Aansluitbijdrage_WKO_UitlegWoning;-4995.81051
KL_p_Aansluitbijdrage_WKO_Woning;0
KL_p_Aansluitbijdrage_WKO_UitlegWoning;-23789.5739
KL_p_Aansluitbijdrage_WKO_Utiliteit;-675.450873
KL_p_Aansluitbijdrage_WKO_UitlegUtil;-15.8510217
Admin_projectmanagement_WKO;0
Comfort_ongeriefsvergoeding_WKO;0
Woning_Eigenaar_EIA_WKO;0
Woning_Eigenaar_ZonneBoiler;0
UitlegWoning_Eigenaar_ZonneBoiler;0
Utiliteit_Eigenaar_ZonneBoiler;0
UitlegUtil_Eigenaar_ZonneBoiler;0
Glastuinbouw_Eigenaar_ZonneBoiler;0
UitlegGlTb_Eigenaar_ZonneBoiler;0
Woning_Eigenaar_Zon_PV;0
UitlegWoning_Eigenaar_Zon_PV;0
Utiliteit_Eigenaar_Zon_PV;0
UitlegUtil_Eigenaar_Zon_PV;0
Glastuinbouw_Eigenaar_Zon_PV;0
UitlegGlTb_Eigenaar_Zon_PV;0
Woning_Eigenaar_mWKK;0
UitlegWoning_Eigenaar_mWKK;0
Utiliteit_Eigenaar_mWKK;0
UitlegUtil_Eigenaar_mWKK;0
Glastuinbouw_Eigenaar_mWKK;0
UitlegGlTb_Eigenaar_mWKK;0
Woning_Eigenaar_eWP;0
UitlegWoning_Eigenaar_eWP;0.0495236321
