titel;bedrag
[text];[MEUR]
Leverancier_Aansluitbijdrage_GeoThermie_Woning;-22.5740728
Leverancier_Aansluitbijdrage_RestWarmte_Woning;-40.6498025
Leverancier_Aansluitbijdrage_BioWKK_Woning;-6.52696791
Leverancier_Aansluitbijdrage_WijkWKK_Woning;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegWoning;-40.1522426
Leverancier_Aansluitbijdrage_RestWarmte_UitlegWoning;-73.2584216
Leverancier_Aansluitbijdrage_BioWKK_UitlegWoning;-4.36670803
Leverancier_Aansluitbijdrage_WijkWKK_UitlegWoning;0
Leverancier_Aansluitbijdrage_GeoThermie_Utiliteit;-106.635511
Leverancier_Aansluitbijdrage_RestWarmte_Utiliteit;-175.230006
Leverancier_Aansluitbijdrage_BioWKK_Utiliteit;-45.2768348
Leverancier_Aansluitbijdrage_WijkWKK_Utiliteit;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegUtil;-7.15928057
Leverancier_Aansluitbijdrage_RestWarmte_UitlegUtil;-15.8791079
Leverancier_Aansluitbijdrage_BioWKK_UitlegUtil;-2.99278695
Leverancier_Aansluitbijdrage_WijkWKK_UitlegUtil;0
Leverancier_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
Leverancier_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
Leverancier_Aansluitbijdrage_BioWKK_Glastuinbouw;0
Leverancier_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
Leverancier_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
Leverancier_Aansluitbijdrage_BioWKK_UitlegGlTb;0
Leverancier_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
InpandigeDistributie_GeoThermie;67.4289174
InpandigeDistributie_RestWarmte;100.853852
InpandigeDistributie_BioWKK;14.5186556
InpandigeDistributie_WijkWKK;0
InpandigeDistributeur_GeoThermie_EIA;0
InpandigeDistributeur_RestWarmte_EIA;0
InpandigeDistributeur_BioWKK_EIA;0
InpandigeDistributeur_WijkWKK_EIA;0
WijkDistributie_GeoThermie;-547.469512
WijkDistributie_RestWarmte;-1002.62889
WijkDistributie_BioWKK;-219.137314
WijkDistributie_WijkWKK;0
WijkDistributeur_GeoThermie_EIA;0
WijkDistributeur_RestWarmte_EIA;0
WijkDistributeur_BioWKK_EIA;0
WijkDistributeur_WijkWKK_EIA;0
PrimairTransport_GeoThermie;0
PrimairTransport_RestWarmte;-288.038552
PrimairTransport_BioWKK;0
PrimairTransport_WijkWKK;0
PrimairTransporteur_GeoThermie_EIA;0
PrimairTransporteur_RestWarmte_EIA;0
PrimairTransporteur_BioWKK_EIA;0
PrimairTransporteur_WijkWKK_EIA;0
Opwekking_GeoThermie;-761.43091
Opwekking_RestWarmte;-102.176775
Opwekking_BioWKK;-149.02431
Opwekking_WijkWKK;0
GeoThermie_GeoThermie_EIA;0
RestWarmte_RestWarmte_EIA;0
BioWKK_BioWKK_EIA;0
WijkWKK_WijkWKK_EIA;0
Leverancier_Aansluitbijdrage_WKO_Woning;0
Leverancier_Aansluitbijdrage_WKO_UitlegWoning;-23789.5739
Leverancier_Aansluitbijdrage_WKO_Utiliteit;-675.450873
Leverancier_Aansluitbijdrage_WKO_UitlegUtil;-15.8510217
InpandigeDistributie_WKO;-3083.28971
InpandigeDistributeur_WKO_EIA;0
WijkDistributie_WKO;-10147.1209
WijkDistributeur_WKO_EIA;0
Opwekking_WKO;-17640.0824
WKO_WKO_EIA;0
KL_e_Aansluitbijdrage_GeoThermie_Woning;22.5740728
KL_e_Aansluitbijdrage_RestWarmte_Woning;40.6498025
KL_e_Aansluitbijdrage_BioWKK_Woning;6.52696791
KL_e_Aansluitbijdrage_WijkWKK_Woning;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegWoning;40.1522426
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;73.2584216
KL_e_Aansluitbijdrage_BioWKK_UitlegWoning;4.36670803
KL_e_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_e_Aansluitbijdrage_GeoThermie_Utiliteit;106.635511
KL_e_Aansluitbijdrage_RestWarmte_Utiliteit;175.230006
KL_e_Aansluitbijdrage_BioWKK_Utiliteit;45.2768348
KL_e_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegUtil;7.15928057
KL_e_Aansluitbijdrage_RestWarmte_UitlegUtil;15.8791079
KL_e_Aansluitbijdrage_BioWKK_UitlegUtil;2.99278695
KL_e_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_e_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_e_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_e_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_e_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_e_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_e_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_e_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
InpandigeDistributeur_GeoThermie;-67.4289174
InpandigeDistributeur_RestWarmte;-100.853852
InpandigeDistributeur_BioWKK;-14.5186556
InpandigeDistributeur_WijkWKK;0
Subsidie_GeoThermie_EIA_id;0
Subsidie_RestWarmte_EIA_id;0
Subsidie_BioWKK_EIA_id;0
Subsidie_WijkWKK_EIA_id;0
WijkDistributeur_GeoThermie;547.469512
WijkDistributeur_RestWarmte;1002.62889
WijkDistributeur_BioWKK;219.137314
WijkDistributeur_WijkWKK;0
Subsidie_GeoThermie_EIA_wd;0
Subsidie_RestWarmte_EIA_wd;0
Subsidie_BioWKK_EIA_wd;0
Subsidie_WijkWKK_EIA_wd;0
PrimairTransporteur_GeoThermie;0
PrimairTransporteur_RestWarmte;288.038552
PrimairTransporteur_BioWKK;0
PrimairTransporteur_WijkWKK;0
Subsidie_GeoThermie_EIA_pt;0
Subsidie_RestWarmte_EIA_pt;0
Subsidie_BioWKK_EIA_pt;0
