titel;bedrag
[text];[MEUR]
KL_p_Aansluitbijdrage_GeoThermie_Woning;22.5740728
KL_p_Aansluitbijdrage_RestWarmte_Woning;40.6498025
KL_p_Aansluitbijdrage_BioWKK_Woning;6.52696791
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;40.1522426
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;73.2584216
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;4.36670803
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;106.635511
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;175.230006
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;45.2768348
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;7.15928057
KL_p_Aansluitbijdrage_RestWarmte_UitlegUtil;15.8791079
KL_p_Aansluitbijdrage_BioWKK_UitlegUtil;2.99278695
KL_p_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_p_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_p_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_p_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_p_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WKO_Woning;0
KL_p_Aansluitbijdrage_WKO_UitlegWoning;23789.5739
KL_p_Aansluitbijdrage_WKO_Utiliteit;675.450873
KL_p_Aansluitbijdrage_WKO_UitlegUtil;15.8510217
