UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;29181325;3144818;845055;0;471209;1874637;22845606
winkel;5568154;390650;289096;0;48069;50190;4790149
groothandel;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0
verzorging_verpleging;2025513;55182;18602;0;5316;38714;1907699
ziekenhuis;0;0;0;0;0;0;0
onderwijs;23396399;693686;41944;0;18005;623890;22018874
horeca;2236608;66901;8871;0;4580;0;2156256
overig;6637884;204582;104697;0;32610;0;6295995
