UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;69984857.6;0;0;0;4627077.64;0;0
Winkel;51993543.1;0;0;0;6738.94497;0;0
Gezondheidszorg;21487068.7;0;0;0;777086.312;0;0
Logies;14515764.2;0;0;0;1056109.81;0;0
Onderwijs;38875882.9;0;0;0;9016.99769;0;0
Industrie;40912084;0;0;0;47247.3535;0;0
Bijeenkomst;33272224;0;0;0;3477591.5;0;0
Sport;13094166.7;0;0;0;0;0;0
overige_gebruiks;37042786.5;0;0;0;4330.36911;0;0
Cel;890888.503;0;0;0;7552.05791;0;0
