name;Oj_Totaal;Kj_Totaal;Oj_Netto;Netwerk;GasNet;ElektriciteitsNet;AardGas;Elektriciteit;LokaleOpwekking;Gebouw;Onderhoud;Admin;Comfort;InpandigeDistributie;WijkDistributie;PrimairTransport;Opwekking;WarmteInkoop;InpandigeDistributeur;WijkDistributeur;PrimairTransporteur;Leverancier;KL_p;KL_e;EmissieRechten;BTW;Precario;EnergieHeffing;Subsidie;Woning_Eigenaar;UitlegWoning_Eigenaar;Utiliteit_Eigenaar;UitlegUtil_Eigenaar;Glastuinbouw_Eigenaar;UitlegGlTb_Eigenaar;Woning_Gebruiker;UitlegWoning_Gebruiker;Utiliteit_Gebruiker;UitlegUtil_Gebruiker;Glastuinbouw_Gebruiker;UitlegGlTb_Gebruiker;RestWarmte
[text];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr]
Netwerk;1894.78235;0;1894.78235;0;1268.55707;626.225277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GasNet;3954.91322;3954.91322;0;-1268.55707;0;0;2151.60757;0;0;0;-2686.35615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1277.39926;0;525.906395;0;0;0;0
ElektriciteitsNet;3533.69978;3533.69978;0;-626.225276;0;0;0;849.950578;0;0;-2907.4745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1900.20504;0;783.544159;0;0;0;0
AardGas;6217.02037;2151.60757;4065.4128;0;-2151.60757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.544959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3838.76219;0;1446.67282;0;870.040408;0;0
Elektriciteit;4045.78855;977.784097;3068.00446;0;0;-849.950577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-127.833518;0;0;0;0;0;0;0;0;0;0;1129.68598;0;2436.69103;0;479.411536;0;0
LokaleOpwekking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebouw;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Onderhoud;5706.42957;0;5706.42957;0;2686.35615;2907.4745;0;0;0;0;0;0;0;0;0;0;0;0;6.238305;82.44107;19.259175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.660373
Admin;96.156817;0;96.156817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.26669;19.259175;10.970579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.660373
