titel;bedrag
[text];[MEUR/Yr]
Leverancier_Aansluitbijdrage_RestWarmte_Woning;0
Leverancier_Aansluitbijdrage_RestWarmte_UitlegWoning;0
Leverancier_Aansluitbijdrage_RestWarmte_Utiliteit;0
Leverancier_Aansluitbijdrage_RestWarmte_UitlegUtil;0
Leverancier_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
Leverancier_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
InpandigeDistributie_RestWarmte;0
InpandigeDistributeur_RestWarmte_EIA;0
WijkDistributie_RestWarmte;0
WijkDistributeur_RestWarmte_EIA;0
PrimairTransport_RestWarmte;0
PrimairTransporteur_RestWarmte_EIA;0
Opwekking_RestWarmte;0
RestWarmte_RestWarmte_EIA;0
KL_e_Aansluitbijdrage_RestWarmte_Woning;0
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;0
KL_e_Aansluitbijdrage_RestWarmte_Utiliteit;0
KL_e_Aansluitbijdrage_RestWarmte_UitlegUtil;0
KL_e_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_e_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
InpandigeDistributeur_RestWarmte;0
Subsidie_RestWarmte_EIA_id;0
WijkDistributeur_RestWarmte;0
Subsidie_RestWarmte_EIA_wd;0
PrimairTransporteur_RestWarmte;0
Subsidie_RestWarmte_EIA_pt;0
RestWarmte_RestWarmte;0
Subsidie_RestWarmte_EIA_ov;0
