titel;bedrag
[text];[MEUR]
LokaleOpwekking_Woning30j;0
LokaleOpwekking_UitlegWoning30j;0
LokaleOpwekking_Utiliteit30j;0
LokaleOpwekking_UitlegUtil30j;0
LokaleOpwekking_Glastuinbouw30j;0
LokaleOpwekking_UitlegGlTb30j;0
BTW_Woning30j;0
BTW_UitlegWoning30j;0
LokaleOpwekking_Woning15j;0
LokaleOpwekking_UitlegWoning15j;0
LokaleOpwekking_Utiliteit15j;0
LokaleOpwekking_UitlegUtil15j;0
LokaleOpwekking_Glastuinbouw15j;0
LokaleOpwekking_UitlegGlTb15j;0
BTW_Woning15j;0
BTW_UitlegWoning15j;0
Gebouw_GebouwverbeteringWoning;0
Gebouw_GebouwverbeteringUitlegWoning;0
Gebouw_GebouwverbeteringUtiliteit;0
Gebouw_GebouwverbeteringUitlegUtil;0
Gebouw_GebouwverbeteringGlastuinbouw;0
Gebouw_GebouwverbeteringUitlegGlTb;0
BTW_GebouwverbeteringWoning;0
BTW_GebouwverbeteringUitlegWoning;0
Woning_Eigenaar_EIA30;0
UitlegWoning_Eigenaar_EIA30;0
Utiliteit_Eigenaar_EIA30;0
UitlegUtil_Eigenaar_EIA30;0
Glastuinbouw_Eigenaar_EIA30;0
UitlegGlTb_Eigenaar_EIA30;0
Woning_Eigenaar_EIA15;0
UitlegWoning_Eigenaar_EIA15;0
Utiliteit_Eigenaar_EIA15;0
UitlegUtil_Eigenaar_EIA15;0
Glastuinbouw_Eigenaar_EIA15;0
UitlegGlTb_Eigenaar_EIA15;0
BTW_Aansluitbijdrage_RestWarmte_Woning;0
BTW_Aansluitbijdrage_RestWarmte_UitlegWoning;0
KL_p_Aansluitbijdrage_RestWarmte_Woning;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;0
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegUtil;0
KL_p_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
Admin_projectmanagemente;0
Comfort_ongeriefsvergoeding;0
Woning_Eigenaar_EIA;0
Woning_Eigenaar_ZonneBoiler;0
UitlegWoning_Eigenaar_ZonneBoiler;0
Utiliteit_Eigenaar_ZonneBoiler;0
UitlegUtil_Eigenaar_ZonneBoiler;0
Glastuinbouw_Eigenaar_ZonneBoiler;0
UitlegGlTb_Eigenaar_ZonneBoiler;0
Woning_Eigenaar_Zon_PV;0
UitlegWoning_Eigenaar_Zon_PV;0
Utiliteit_Eigenaar_Zon_PV;0
UitlegUtil_Eigenaar_Zon_PV;0
Glastuinbouw_Eigenaar_Zon_PV;0
UitlegGlTb_Eigenaar_Zon_PV;0
Woning_Eigenaar_mWKK;0
UitlegWoning_Eigenaar_mWKK;0
Utiliteit_Eigenaar_mWKK;0
UitlegUtil_Eigenaar_mWKK;0
Glastuinbouw_Eigenaar_mWKK;0
UitlegGlTb_Eigenaar_mWKK;0
Woning_Eigenaar_eWP;0
UitlegWoning_Eigenaar_eWP;0
Utiliteit_Eigenaar_eWP;0
UitlegUtil_Eigenaar_eWP;0
Glastuinbouw_Eigenaar_eWP;0
UitlegGlTb_Eigenaar_eWP;0
Woning_Eigenaar_EWV;0
UitlegWoning_Eigenaar_EWV;0
Utiliteit_Eigenaar_EWV;0
UitlegUtil_Eigenaar_EWV;0
Glastuinbouw_Eigenaar_EWV;0
UitlegGlTb_Eigenaar_EWV;0
Woning_Eigenaar_hWP;0
UitlegWoning_Eigenaar_hWP;0
Utiliteit_Eigenaar_hWP;0
UitlegUtil_Eigenaar_hWP;0
Glastuinbouw_Eigenaar_hWP;0
UitlegGlTb_Eigenaar_hWP;0
Woning_Eigenaar_Gebouwverbetering;0
UitlegWoning_Eigenaar_Gebouwverbetering;0
Utiliteit_Eigenaar_Gebouwverbetering;0
UitlegUtil_Eigenaar_Gebouwverbetering;0
Glastuinbouw_Eigenaar_Gebouwverbetering;0
UitlegGlTb_Eigenaar_Gebouwverbetering;0
Subsidie_EIA30Woning;0
Subsidie_EIA30UitlegWoning;0
Subsidie_EIA30Utiliteit;0
Subsidie_EIA30UitlegUtil;0
Subsidie_EIA30Glastuinbouw;0
Subsidie_EIA30UitlegGlTb;0
Subsidie_EIA15Woning;0
Subsidie_EIA15UitlegWoning;0
Subsidie_EIA15Utiliteit;0
Subsidie_EIA15UitlegUtil;0
Subsidie_EIA15Glastuinbouw;0
Subsidie_EIA15UitlegGlTb;0
Woning_Eigenaar_Aansluitbijdrage_RestWarmte;0
UitlegWoning_Eigenaar_Aansluitbijdrage_RestWarmte;0
Utiliteit_Eigenaar_Aansluitbijdrage_RestWarmte;0
UitlegUtil_Eigenaar_Aansluitbijdrage_RestWarmte;0
Glastuinbouw_Eigenaar_Aansluitbijdrage_RestWarmte;0
UitlegGlTb_Eigenaar_Aansluitbijdrage_RestWarmte;0
Woning_Eigenaar_projectmanagement;0
Woning_Eigenaar_ongeriefsvergoeding;0
Subsidie_ge_EIA;0
