titel;bedrag
[text];[MEUR/Yr]
EmissieRechten_CO2Woning;0
EmissieRechten_CO2UitlegWoning;0
EmissieRechten_CO2Utiliteit;0
EmissieRechten_CO2UitlegUtil;0
EmissieRechten_CO2Glastuinbouw;0
EmissieRechten_CO2UitlegGlTb;0
GasNet_Netkosten_Woning;-1251.94858
GasNet_Netkosten_UitlegWoning;-31.797017
GasNet_Netkosten_Utiliteit;-337.984492
GasNet_Netkosten_UitlegUtil;-5.79975719
GasNet_Netkosten_Glastuinbouw;-271.081884
GasNet_Netkosten_UitlegGlTb;0
Woning_Gebruiker_maatschappelijk;2932.41646
UitlegWoning_Gebruiker_maatschappelijk;75.6928281
Utiliteit_Gebruiker_maatschappelijk;844.214282
UitlegUtil_Gebruiker_maatschappelijk;13.5867628
Glastuinbouw_Gebruiker_maatschappelijk;755.156677
UitlegGlTb_Gebruiker_maatschappelijk;0
WijkDistributeur_GeoThermie_bijstook;19.9170023
WijkDistributeur_RestWarmte_bijstook;87.3481429
WijkDistributeur_BioWKK_bijstook;15.7766779
WijkDistributeur_WijkWKK_bijstook;0
