titel;bedrag
[text];[MEUR/Yr]
KL_e_projectmanagemente;1.112545
WijkDistributeur_GeoThermie;14.0658124
WijkDistributeur_RestWarmte;88.3521744
WijkDistributeur_BioWKK;11.5237239
WijkDistributeur_WijkWKK;0
PrimairTransporteur_GeoThermie;0
PrimairTransporteur_RestWarmte;12.8499766
PrimairTransporteur_BioWKK;0
PrimairTransporteur_WijkWKK;0
GeoThermie_;3.39067086
RestWarmte_;6.47988605
BioWKK_;10.3652171
WijkWKK_;0
Leverancier_GeoThermie;5.4020966
Leverancier_RestWarmte;20.8869159
Leverancier_BioWKK;5.20238023
Leverancier_WijkWKK;0
KL_e_projectmanagement_WKO;0
