titel;bedrag
[text];[MEUR/Yr]
Netwerk_kapitaallasten;-672.874355
Netwerk_netverzwaring;-45.059645
Onderhoud_;-3124.0595
Elektriciteit_NetkostenWoning;0
Elektriciteit_NetkostenUitlegWoning;74.0749101
Elektriciteit_NetkostenUtiliteit;707.911888
Elektriciteit_NetkostenUitlegUtil;20.0153403
Elektriciteit_NetkostenGlastuinbouw;133.121645
Elektriciteit_NetkostenUitlegGlTb;0
Woning_Gebruiker_Vastrecht;1837.67448
UitlegWoning_Gebruiker_Vastrecht;244.792826
Utiliteit_Gebruiker_Vastrecht;779.652355
UitlegUtil_Gebruiker_Vastrecht;23.6438376
Glastuinbouw_Gebruiker_Vastrecht;0
UitlegGlTb_Gebruiker_Vastrecht;0
KL_e_AansluitbijdrageWoning;0
KL_e_AansluitbijdrageUitlegWoning;26.3512962
KL_e_AansluitbijdrageUtiliteit;0
KL_e_AansluitbijdrageUitlegUtil;2.73436618
KL_e_AansluitbijdrageGlastuinbouw;0
KL_e_AansluitbijdrageUitlegGlTb;0
