titel;bedrag
[text];[MEUR/Yr]
Woning_Gebruiker_AardGas;2764.36967
UitlegWoning_Gebruiker_AardGas;72.2086093
Utiliteit_Gebruiker_AardGas;785.257309
UitlegUtil_Gebruiker_AardGas;12.8096242
Glastuinbouw_Gebruiker_AardGas;331.591233
UitlegGlTb_Gebruiker_AardGas;0
Woning_Gebruiker_Elektriciteit;2011.27443
UitlegWoning_Gebruiker_Elektriciteit;140.414867
Utiliteit_Gebruiker_Elektriciteit;765.331522
UitlegUtil_Gebruiker_Elektriciteit;57.0496158
Glastuinbouw_Gebruiker_Elektriciteit;51.0387916
UitlegGlTb_Gebruiker_Elektriciteit;0
WijkDistributeur_GeoThermie_bijstook;19.677759
WijkDistributeur_RestWarmte_bijstook;86.2989159
WijkDistributeur_BioWKK_bijstook;15.5871683
WijkDistributeur_WijkWKK_bijstook;0
GeoThermie_Opwekking;0
RestWarmte_Opwekking;0
BioWKK_Opwekking;0
WijkWKK_Opwekking;0
WKO_Opwekking;74.0497012
