titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-755.156677
EnergieHeffing_AardGas;-331.591233
GasNet_Vastrecht;0
Elektriciteit_maatschappelijk;-576.372706
EnergieHeffing_Elektriciteit;-51.0387916
ElektriciteitsNet_Vastrecht;0
Glastuinbouw_Eigenaar_VergoedingLabelSprong;0
Glastuinbouw_Eigenaar_VergoedingZonPV;0
Glastuinbouw_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;0
Leverancier_Vastrecht_RestWarmte;0
Leverancier_Vastrecht_BioWKK;0
Leverancier_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-0.375997704
Leverancier_Warmte_RestWarmte;-75.0930483
Leverancier_Warmte_BioWKK;-0.0235162168
Leverancier_Warmte_WijkWKK;0
