titel;bedrag
[text];[MEUR/Yr]
KL_p_GeoThermie;1.76927093
KL_p_RestWarmte;4.43621177
KL_p_BioWKK;1.75281532
KL_p_WijkWKK;0
Onderhoud_GeoThermie;-1.69398146
Onderhoud_RestWarmte;-9.89539396
Onderhoud_BioWKK;-0.909525844
Onderhoud_WijkWKK;0
KL_p_WKO;-126.756555
KL_p_GeoThermie_EIA;0
KL_p_RestWarmte_EIA;0
KL_p_BioWKK_EIA;0
KL_p_WijkWKK_EIA;0
Subsidie_GeoThermie_EEA;0
Subsidie_RestWarmte_EEA;0
Subsidie_BioWKK_EEA;0
Subsidie_WijkWKK_EEA;0
Leverancier_Verrekening;4.54060324
KL_p_WKO_EIA;0
Subsidie_WKO_EEA;0
Leverancier_VerrekeningWKO;126.756555
