titel;bedrag
[text];[MEUR/Yr]
GasNet_;2802.14212
ElektriciteitsNet_;3124.0595
Woning_Eigenaar_LokaleOpwekking;0
UitlegWoning_Eigenaar_LokaleOpwekking;0.384878546
Utiliteit_Eigenaar_LokaleOpwekking;2.25482347
UitlegUtil_Eigenaar_LokaleOpwekking;0
Glastuinbouw_Eigenaar_LokaleOpwekking;0
UitlegGlTb_Eigenaar_LokaleOpwekking;0
InpandigeDistributeur_GeoThermie;1.69398146
InpandigeDistributeur_RestWarmte;9.89539396
InpandigeDistributeur_BioWKK;0.909525844
InpandigeDistributeur_WijkWKK;0
WijkDistributeur_GeoThermie;19.494691
WijkDistributeur_RestWarmte;116.326102
WijkDistributeur_BioWKK;16.5177903
WijkDistributeur_WijkWKK;0
PrimairTransporteur_GeoThermie;0
PrimairTransporteur_RestWarmte;12.8499766
PrimairTransporteur_BioWKK;0
PrimairTransporteur_WijkWKK;0
GeoThermie_;3.39067086
RestWarmte_;6.47988605
BioWKK_;10.3652171
WijkWKK_;0
WKO_;4.10246447
