titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-13.5867628
EnergieHeffing_AardGas;-12.8096242
GasNet_Vastrecht;-15.2242406
Elektriciteit_maatschappelijk;-89.433559
EnergieHeffing_Elektriciteit;-57.0496158
ElektriciteitsNet_Vastrecht;-23.6438376
UitlegUtil_Eigenaar_VergoedingLabelSprong;0
UitlegUtil_Eigenaar_VergoedingZonPV;0
UitlegUtil_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-0.367114449
Leverancier_Vastrecht_RestWarmte;-3.65965052
Leverancier_Vastrecht_BioWKK;-0.32774664
Leverancier_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-0.19355591
Leverancier_Warmte_RestWarmte;-1.84503975
Leverancier_Warmte_BioWKK;-0.159513444
Leverancier_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;0
Comfort_Koude_WKO;0
