titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-75.6928281
EnergieHeffing_AardGas;-72.2086093
BTW_Aardgas;-31.0593019
GasNet_Vastrecht;-44.2928963
BTW_VastrechtGasNet;-9.30150823
Elektriciteit_maatschappelijk;-298.809914
EnergieHeffing_Elektriciteit;-140.414867
BTW_Elektriciteit;-92.2372041
ElektriciteitsNet_Vastrecht;-244.792826
BTW_VastrechtElektriciteitsNet;-51.4064935
UitlegWoning_Eigenaar_VergoedingLabelSprong;0
UitlegWoning_Eigenaar_VergoedingZonPV;0
UitlegWoning_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-0.181720769
Leverancier_Vastrecht_RestWarmte;-11.1693006
Leverancier_Vastrecht_BioWKK;-0.0706303454
Leverancier_Vastrecht_WijkWKK;0
BTW_Vastrecht_GeoThermie;-0.0381613615
BTW_Vastrecht_RestWarmte;-2.34555313
BTW_Vastrecht_BioWKK;-0.0148323725
BTW_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-0.635095432
Leverancier_Warmte_RestWarmte;-34.5526368
Leverancier_Warmte_BioWKK;-0.227260703
Leverancier_Warmte_WijkWKK;0
BTW_Warmte_GeoThermie;-0.133370041
BTW_Warmte_RestWarmte;-7.25605374
BTW_Warmte_BioWKK;-0.0477247476
BTW_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;-682.638738
BTW_Verbruik_WKO;-143.354135
Comfort_Koude_WKO;172.141152
