titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-2932.41646
EnergieHeffing_AardGas;-2764.36967
BTW_Aardgas;-1196.32509
GasNet_Vastrecht;-1207.79534
BTW_VastrechtGasNet;-253.637022
Elektriciteit_maatschappelijk;-1399.14743
EnergieHeffing_Elektriciteit;-2011.27443
BTW_Elektriciteit;-716.18859
ElektriciteitsNet_Vastrecht;-1837.67448
BTW_VastrechtElektriciteitsNet;-385.911641
Woning_Eigenaar_VergoedingLabelSprong;-393.166336
Woning_Eigenaar_VergoedingZonPV;0
Woning_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-8.70790264
Leverancier_Vastrecht_RestWarmte;-67.3071839
Leverancier_Vastrecht_BioWKK;-5.25664427
Leverancier_Vastrecht_WijkWKK;0
BTW_Vastrecht_GeoThermie;-1.82865956
BTW_Vastrecht_RestWarmte;-14.1345086
BTW_Vastrecht_BioWKK;-1.1038953
BTW_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-31.572054
Leverancier_Warmte_RestWarmte;-257.605764
Leverancier_Warmte_BioWKK;-20.631333
Leverancier_Warmte_WijkWKK;0
BTW_Warmte_GeoThermie;-6.63013135
BTW_Warmte_RestWarmte;-54.0972103
BTW_Warmte_BioWKK;-4.33257994
BTW_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;0
BTW_Verbruik_WKO;0
Comfort_Koude_WKO;0
