titel;bedrag
[text];[MEUR]
Leverancier_Aansluitbijdrage_GeoThermie_Woning;-31.2579358
Leverancier_Aansluitbijdrage_RestWarmte_Woning;-56.8960048
Leverancier_Aansluitbijdrage_BioWKK_Woning;-18.8692795
Leverancier_Aansluitbijdrage_WijkWKK_Woning;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegWoning;-4.67997044
Leverancier_Aansluitbijdrage_RestWarmte_UitlegWoning;-30.2362216
Leverancier_Aansluitbijdrage_BioWKK_UitlegWoning;-1.81898817
Leverancier_Aansluitbijdrage_WijkWKK_UitlegWoning;0
Leverancier_Aansluitbijdrage_GeoThermie_Utiliteit;-104.790192
Leverancier_Aansluitbijdrage_RestWarmte_Utiliteit;-191.643413
Leverancier_Aansluitbijdrage_BioWKK_Utiliteit;-95.2803936
Leverancier_Aansluitbijdrage_WijkWKK_Utiliteit;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegUtil;-0.460903073
Leverancier_Aansluitbijdrage_RestWarmte_UitlegUtil;-1.2927342
Leverancier_Aansluitbijdrage_BioWKK_UitlegUtil;-0.421828939
Leverancier_Aansluitbijdrage_WijkWKK_UitlegUtil;0
Leverancier_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
Leverancier_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
Leverancier_Aansluitbijdrage_BioWKK_Glastuinbouw;0
Leverancier_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
Leverancier_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
Leverancier_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
Leverancier_Aansluitbijdrage_BioWKK_UitlegGlTb;0
Leverancier_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
InpandigeDistributie_GeoThermie;21.1099473
InpandigeDistributie_RestWarmte;52.9303879
InpandigeDistributie_BioWKK;20.9136082
InpandigeDistributie_WijkWKK;0
InpandigeDistributeur_GeoThermie_EIA;0
InpandigeDistributeur_RestWarmte_EIA;0
InpandigeDistributeur_BioWKK_EIA;0
InpandigeDistributeur_WijkWKK_EIA;0
WijkDistributie_GeoThermie;-482.663204
WijkDistributie_RestWarmte;-975.609682
WijkDistributie_BioWKK;-411.60786
WijkDistributie_WijkWKK;0
WijkDistributeur_GeoThermie_EIA;0
WijkDistributeur_RestWarmte_EIA;0
WijkDistributeur_BioWKK_EIA;0
WijkDistributeur_WijkWKK_EIA;0
PrimairTransport_GeoThermie;0
PrimairTransport_RestWarmte;-284.437716
PrimairTransport_BioWKK;0
PrimairTransport_WijkWKK;0
PrimairTransporteur_GeoThermie_EIA;0
PrimairTransporteur_RestWarmte_EIA;0
PrimairTransporteur_BioWKK_EIA;0
PrimairTransporteur_WijkWKK_EIA;0
Opwekking_GeoThermie;-678.134172
Opwekking_RestWarmte;-87.8986221
Opwekking_BioWKK;-259.130427
Opwekking_WijkWKK;0
GeoThermie_GeoThermie_EIA;0
RestWarmte_RestWarmte_EIA;0
BioWKK_BioWKK_EIA;0
WijkWKK_WijkWKK_EIA;0
Leverancier_Aansluitbijdrage_WKO_Woning;0
Leverancier_Aansluitbijdrage_WKO_UitlegWoning;-3075.69199
Leverancier_Aansluitbijdrage_WKO_Utiliteit;-187.054313
Leverancier_Aansluitbijdrage_WKO_UitlegUtil;0
InpandigeDistributie_WKO;-1512.38804
InpandigeDistributeur_WKO_EIA;0
WijkDistributie_WKO;-1241.5064
WijkDistributeur_WKO_EIA;0
Opwekking_WKO;-2768.92957
WKO_WKO_EIA;0
KL_e_Aansluitbijdrage_GeoThermie_Woning;31.2579358
KL_e_Aansluitbijdrage_RestWarmte_Woning;56.8960048
KL_e_Aansluitbijdrage_BioWKK_Woning;18.8692795
KL_e_Aansluitbijdrage_WijkWKK_Woning;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegWoning;4.67997044
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;30.2362216
KL_e_Aansluitbijdrage_BioWKK_UitlegWoning;1.81898817
KL_e_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_e_Aansluitbijdrage_GeoThermie_Utiliteit;104.790192
KL_e_Aansluitbijdrage_RestWarmte_Utiliteit;191.643413
KL_e_Aansluitbijdrage_BioWKK_Utiliteit;95.2803936
KL_e_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegUtil;0.460903073
KL_e_Aansluitbijdrage_RestWarmte_UitlegUtil;1.2927342
KL_e_Aansluitbijdrage_BioWKK_UitlegUtil;0.421828939
KL_e_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_e_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_e_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_e_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_e_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_e_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_e_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_e_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
InpandigeDistributeur_GeoThermie;-21.1099473
InpandigeDistributeur_RestWarmte;-52.9303879
InpandigeDistributeur_BioWKK;-20.9136082
InpandigeDistributeur_WijkWKK;0
Subsidie_GeoThermie_EIA_id;0
Subsidie_RestWarmte_EIA_id;0
Subsidie_BioWKK_EIA_id;0
Subsidie_WijkWKK_EIA_id;0
WijkDistributeur_GeoThermie;482.663204
WijkDistributeur_RestWarmte;975.609682
WijkDistributeur_BioWKK;411.60786
WijkDistributeur_WijkWKK;0
Subsidie_GeoThermie_EIA_wd;0
Subsidie_RestWarmte_EIA_wd;0
Subsidie_BioWKK_EIA_wd;0
Subsidie_WijkWKK_EIA_wd;0
PrimairTransporteur_GeoThermie;0
PrimairTransporteur_RestWarmte;284.437716
PrimairTransporteur_BioWKK;0
PrimairTransporteur_WijkWKK;0
Subsidie_GeoThermie_EIA_pt;0
Subsidie_RestWarmte_EIA_pt;0
Subsidie_BioWKK_EIA_pt;0
Subsidie_WijkWKK_EIA_pt;0
GeoThermie_GeoThermie;678.134172
RestWarmte_RestWarmte;87.8986221
BioWKK_BioWKK;259.130427
WijkWKK_WijkWKK;0
Subsidie_GeoThermie_EIA_ov;0
Subsidie_RestWarmte_EIA_ov;0
Subsidie_BioWKK_EIA_ov;0
Subsidie_WijkWKK_EIA_ov;0
KL_e_Aansluitbijdrage_WKO_Woning;0
KL_e_Aansluitbijdrage_WKO_UitlegWoning;3075.69199
KL_e_Aansluitbijdrage_WKO_Utiliteit;187.054313
KL_e_Aansluitbijdrage_WKO_UitlegUtil;0
InpandigeDistributeur_WKO;1512.38804
Subsidie_WKO_EIA_id;0
WijkDistributeur_WKO;1241.5064
Subsidie_WKO_EIA_wd;0
WKO_WKO;2768.92957
Subsidie_WKO_EIA_ov;0
