titel;bedrag
[text];[MEUR]
KL_p_Aansluitbijdrage_GeoThermie_Woning;31.2579358
KL_p_Aansluitbijdrage_RestWarmte_Woning;56.8960048
KL_p_Aansluitbijdrage_BioWKK_Woning;18.8692795
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;4.67997044
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;30.2362216
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;1.81898817
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;104.790192
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;191.643413
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;95.2803936
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;0.460903073
KL_p_Aansluitbijdrage_RestWarmte_UitlegUtil;1.2927342
KL_p_Aansluitbijdrage_BioWKK_UitlegUtil;0.421828939
KL_p_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_p_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_p_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_p_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_p_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WKO_Woning;0
KL_p_Aansluitbijdrage_WKO_UitlegWoning;3075.69199
KL_p_Aansluitbijdrage_WKO_Utiliteit;187.054313
KL_p_Aansluitbijdrage_WKO_UitlegUtil;0
