titel;bedrag
[text];[MEUR]
KL_e_EIA30Woning;0
KL_e_EIA30UitlegWoning;0
KL_e_EIA30Utiliteit;0
KL_e_EIA30UitlegUtil;0
KL_e_EIA30Glastuinbouw;0
KL_e_EIA30UitlegGlTb;0
KL_e_EIA15Woning;0
KL_e_EIA15UitlegWoning;0
KL_e_EIA15Utiliteit;0
KL_e_EIA15UitlegUtil;0
KL_e_EIA15Glastuinbouw;0
KL_e_EIA15UitlegGlTb;0
KL_e_ge_EIA;0
KL_p_GeoThermie_EIA_id;0
KL_p_RestWarmte_EIA_id;0
KL_p_BioWKK_EIA_id;0
KL_p_WijkWKK_EIA_id;0
KL_p_GeoThermie_EIA_wd;0
KL_p_RestWarmte_EIA_wd;0
KL_p_BioWKK_EIA_wd;0
KL_p_WijkWKK_EIA_wd;0
KL_p_GeoThermie_EIA_pt;0
KL_p_RestWarmte_EIA_pt;0
KL_p_BioWKK_EIA_pt;0
KL_p_WijkWKK_EIA_pt;0
KL_p_GeoThermie_EIA_ov;0
KL_p_RestWarmte_EIA_ov;0
KL_p_BioWKK_EIA_ov;0
KL_p_WijkWKK_EIA_ov;0
KL_e_EIA_WKO;0
KL_p_WKO_EIA_id;0
KL_p_WKO_EIA_wd;0
KL_p_WKO_EIA_ov;0
