titel;bedrag
[text];[MEUR]
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;0
KL_e_EWV;0
KL_e_hWP;0
KL_e_Gebouwverbetering;-5265.95295
KL_e_Aansluitbijdrage_GeoThermie;-37.8221023
KL_e_Aansluitbijdrage_RestWarmte;-68.8441658
KL_e_Aansluitbijdrage_BioWKK;-22.8318282
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_projectmanagement;-17.1398
KL_e_ongeriefsvergoeding;-5.350375
KL_e_Aansluitbijdrage_WKO;0
KL_e_projectmanagement_WKO;0
KL_e_ongeriefsvergoeding_WKO;0
KL_e_EIA30;0
KL_e_EIA15;0
KL_e_EIA;0
KL_e_EIA_WKO;0
