Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;45.119085;0;45.119085;0;0;0;0;0;0;30.7174302;7.00414581;0;0;7.39750897;0
Gas;442.523065;0;442.523065;265.934043;6.94651211;80.1108643;1.23229363;76.604836;0;8.30200817;1.89301238;0;0;1.49949506;0
Elektra;248.532718;0;248.532718;78.7020428;12.641344;122.276693;3.9047748;24.9328722;0;0;0;7.92436826;0;-1.84937724;0
RestWarmte;30.7174302;39.0194384;-8.30200817;11.2130917;1.50401094;12.5199739;0.0862214282;5.3941322;0;0;0;0;0;0;0
GeoThermie;7.00414581;8.89715819;-1.89301238;1.37427181;0.0276445031;5.56617544;0.00904515309;0.0270089092;0;0;0;0;0;0;0
WKO;21.5487213;7.92436826;13.624353;0;17.0130183;4.53570293;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;5.54813173;7.04762679;-1.49949506;0.898042911;0.00989222864;4.63105306;0.00745429844;0.00168923203;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
