woningtype_bouwjaarklasse;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;282082;276891;282082;0;0;0;66275;0;0;215807;0;0
vrijstaand_tussen 1946 en 1965 ;141952;137187;141952;0;0;0;32163;0;0;109789;0;0
vrijstaand_tussen 1965 en 1974 ;113573;109729;113573;0;0;0;1968;0;110829;0;776;0
vrijstaand_tussen 1975 en 1991 ;183010;0;183010;0;0;0;3454;0;179556;0;0;0
vrijstaand_tussen 1992 en 2005 ;188545;0;188545;0;0;0;188545;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;81883;0;81883;0;0;0;81883;0;0;0;0;0
2 onder 1 kap_voor 1946 ;176115;148837;176115;0;0;0;3117;0;151818;0;21180;0
2 onder 1 kap_tussen 1946 en 1965 ;136383;120033;136383;0;0;0;8496;0;127887;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;87301;0;87301;0;0;0;1372;7118;0;78811;0;0
2 onder 1 kap_tussen 1975 en 1991 ;121777;0;121777;0;0;0;1308;120469;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;99519;0;99519;0;0;0;99519;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;52565;0;52565;0;0;0;52565;0;0;0;0;0
rijwoning hoek_voor 1946 ;128374;0;128374;0;0;0;4916;0;0;8254;0;115204
rijwoning hoek_tussen 1946 en 1965 ;144777;120207;144777;0;0;0;69871;0;74906;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;174392;0;174392;0;0;0;7474;38278;0;128640;0;0
rijwoning hoek_tussen 1975 en 1991 ;316787;0;316787;0;0;0;10990;305797;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;128922;0;128922;0;0;0;128922;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;69433;0;69433;0;0;0;69433;0;0;0;0;0
rijwoning tussen_voor 1946 ;338149;0;338149;0;0;0;13813;0;0;28591;0;295745
rijwoning tussen_tussen 1946 en 1965 ;274245;222743;274245;0;0;0;124656;0;149589;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;362099;0;362099;0;0;0;14362;88778;0;258959;0;0
rijwoning tussen_tussen 1975 en 1991 ;718887;0;718887;0;0;0;23128;695759;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;360639;0;360639;0;0;0;360639;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;182814;0;182814;0;0;0;182814;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;384789;338231;384789;0;0;0;22793;0;0;359325;0;2671
meergezins: laag en midden_tussen 1946 en 1965 ;226810;0;226810;0;0;0;7578;45113;0;174119;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;150943;0;150943;0;0;0;25298;0;125645;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;426942;0;426942;0;0;0;48080;378862;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;257573;0;257573;0;0;0;257573;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;389833;0;389833;0;0;0;389833;0;0;0;0;0
meergezins: hoog_voor 1946 ;186205;0;186205;0;0;0;18140;0;168065;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;143487;0;143487;0;0;0;16058;0;127429;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;250307;0;250307;0;0;0;10837;78718;0;160752;0;0
meergezins: hoog_tussen 1975 en 1991 ;153599;0;153599;0;0;0;10702;142897;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;145317;0;145317;0;0;0;145317;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;76949;0;76949;0;0;0;76949;0;0;0;0;0
