titel;bedrag
[text];[MEUR/Yr]
Woning_Gebruiker_Aardgas;1161.67212
UitlegWoning_Gebruiker_Aardgas;48.0971678
Woning_Gebruiker_VastrechtGasNet;243.940667
UitlegWoning_Gebruiker_VastrechtGasNet;15.3336289
KL_e_Aansluitbijdrage_AardGasWoning;0
KL_e_Aansluitbijdrage_AardGasUitlegWoning;3.37772549
Woning_Gebruiker_Elektriciteit;785.811962
UitlegWoning_Gebruiker_Elektriciteit;216.922431
Woning_Gebruiker_VastrechtElektriciteitsNet;373.128386
UitlegWoning_Gebruiker_VastrechtElektriciteitsNet;98.3843317
KL_e_ElektriciteitAansluitbijdrageWoning;0
KL_e_ElektriciteitAansluitbijdrageUitlegWoning;10.5908115
KL_e_Woning30j;0
KL_e_UitlegWoning30j;0
KL_e_Woning15j;0
KL_e_UitlegWoning15j;10.1185086
Woning_Eigenaar_LokaleOpwekking_OA;0
UitlegWoning_Eigenaar_LokaleOpwekking_OA;5.62507496
KL_e_GebouwverbeteringWoning;56.9021498
KL_e_GebouwverbeteringUitlegWoning;0
KL_e_Aansluitbijdrage_GeoThermie_Woning;0.523481443
KL_e_Aansluitbijdrage_RestWarmte_Woning;0.682862942
KL_e_Aansluitbijdrage_BioWKK_Woning;0.214945362
KL_e_Aansluitbijdrage_WijkWKK_Woning;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegWoning;0.175834173
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;0.566563882
KL_e_Aansluitbijdrage_BioWKK_UitlegWoning;0.0802045346
KL_e_Aansluitbijdrage_WijkWKK_UitlegWoning;0
Woning_Gebruiker_Vastrecht_GeoThermie;2.43001751
Woning_Gebruiker_Vastrecht_RestWarmte;12.9179577
Woning_Gebruiker_Vastrecht_BioWKK;0.997783209
Woning_Gebruiker_Vastrecht_WijkWKK;0
UitlegWoning_Gebruiker_Vastrecht_GeoThermie;0.113767858
UitlegWoning_Gebruiker_Vastrecht_RestWarmte;2.91217287
UitlegWoning_Gebruiker_Vastrecht_BioWKK;0.0518937699
UitlegWoning_Gebruiker_Vastrecht_WijkWKK;0
Woning_Gebruiker_Warmte_GeoThermie;9.90086977
Woning_Gebruiker_Warmte_RestWarmte;55.5942268
Woning_Gebruiker_Warmte_BioWKK;4.31186461
Woning_Gebruiker_Warmte_WijkWKK;0
UitlegWoning_Gebruiker_Warmte_GeoThermie;0.414417105
UitlegWoning_Gebruiker_Warmte_RestWarmte;10.0823616
UitlegWoning_Gebruiker_Warmte_BioWKK;0.188522404
UitlegWoning_Gebruiker_Warmte_WijkWKK;0
KL_e_Aansluitbijdrage_WKO_Woning;0
KL_e_Aansluitbijdrage_WKO_UitlegWoning;103.674173
Woning_Gebruiker_Verbruik_WKO;0
UitlegWoning_Gebruiker_Verbruik_WKO;257.709539
