titel;bedrag
[text];[MEUR/Yr]
Netwerk_kapitaallasten;-1441.22134
Netwerk_verwijderkosten;-64.4403933
Onderhoud_;-2950.43632
AardGas_Netkosten_Woning;1157.63206
AardGas_Netkosten_UitlegWoning;46.9707577
AardGas_Netkosten_Utiliteit;284.083691
AardGas_Netkosten_UitlegUtil;19.8156153
AardGas_Netkosten_Glastuinbouw;256.470907
AardGas_Netkosten_UitlegGlTb;0
Woning_Gebruiker_Vastrecht;1161.62222
UitlegWoning_Gebruiker_Vastrecht;73.0172805
Utiliteit_Gebruiker_Vastrecht;373.255341
UitlegUtil_Gebruiker_Vastrecht;55.0667208
Glastuinbouw_Gebruiker_Vastrecht;0
UitlegGlTb_Gebruiker_Vastrecht;0
KL_e_Aansluitbijdrage_Woning;0
KL_e_Aansluitbijdrage_UitlegWoning;16.0844071
KL_e_Aansluitbijdrage_Utiliteit;0
KL_e_Aansluitbijdrage_UitlegUtil;9.09766374
KL_e_Aansluitbijdrage_Glastuinbouw;0
KL_e_Aansluitbijdrage_UitlegGlTb;0
