titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;-24.69295
KL_e_Elektriciteit;-77.4244025
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;-64.5795962
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;-26.7860713
BTW_LokaleOpwekking_OA;-5.62507496
KL_e_Gebouwverbetering;0
KL_e_Aansluitbijdrage_GeoThermie;-1.19548954
KL_e_Aansluitbijdrage_RestWarmte;-3.85204525
KL_e_Aansluitbijdrage_BioWKK;-0.545307434
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_Aansluitbijdrage_WKO;-704.876568
UitlegWoning_Gebruiker_VergoedingLabelSprong;0
UitlegWoning_Gebruiker_VergoedingZonPV;0
UitlegWoning_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
