WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;39703.1202;1987.21212;71.93483;0;45.2161517;7187.67544;30411.0816
vrijstaand/bungalows;234166.543;7175.07858;269.988013;0;170.252002;81636.6125;135.537048
twee onder een kap;234727.803;8555.29606;450.857202;0;164.342045;173752.609;51804.6984
rijtjeshuizen/eengezins;800126.38;33977.3178;1511.08217;0;591.774497;678080.151;85966.0541
flats 4 of minder verdiepingen;217410.291;11679.9594;404.27872;0;209.726426;131372.961;73743.3657
flats meer dan 4 verdiepingen;112852.202;7211.17326;168.661945;0;74.7252638;76768.9815;28628.6598
etagewoning/maisonnette;120149.29;6933.28839;202.229306;0;99.1090235;68501.9572;44412.706
etage/flats grachtenpand;12497.7886;764.240018;19.5176963;0;8.88121007;1440.93376;10264.2159
herenhuis grachtenpand;29502.7621;1532.52429;54.6371436;0;30.5645202;5148.74536;22736.2907
zelfstandige bejaardenwoning;55311.6125;3033.67554;87.9996181;0;46.4398185;21228.6059;30914.8916
boerderij/tuinderij;23844.9123;737.378704;31.9496358;0;33.0227393;278.431545;130.259669
studentenwoning/flat;11479.1302;791.523095;12.5292996;0;6.41254963;3390.8369;7277.82834
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;60298.2382;2728.22987;117.279776;0;71.7442428;9179.9036;48201.0807
