name;Oj_Totaal;Kj_Totaal;Oj_Netto;Netwerk;GasNet;ElektriciteitsNet;AardGas;Elektriciteit;LokaleOpwekking;Gebouw;Onderhoud;Admin;Comfort;InpandigeDistributie;WijkDistributie;PrimairTransport;Opwekking;WarmteInkoop;InpandigeDistributeur;WijkDistributeur;PrimairTransporteur;Leverancier;KL_p;KL_e;EmissieRechten;BTW;Precario;EnergieHeffing;Subsidie;Woning_Eigenaar;UitlegWoning_Eigenaar;Utiliteit_Eigenaar;UitlegUtil_Eigenaar;Glastuinbouw_Eigenaar;UitlegGlTb_Eigenaar;Woning_Gebruiker;UitlegWoning_Gebruiker;Utiliteit_Gebruiker;UitlegUtil_Gebruiker;Glastuinbouw_Gebruiker;UitlegGlTb_Gebruiker;GeoThermie;RestWarmte;WKO;BioWKK;WijkWKK
[text];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr]
Netwerk;2417.85901;0;2417.85901;0;1519.48238;898.376632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GasNet;2814.01393;4297.28527;-1483.27133;-1519.48237;0;0;1337.81143;0;0;0;-2777.80289;0;0;0;0;0;0;0;0;0;0;0;0;19.52925;0;0;0;0;0;0;0;0;0;0;0;1065.42475;41.808729;286.977285;62.462491;0;0;0;0;0;0;0
ElektriciteitsNet;4466.68725;4355.45117;111.236076;-898.376631;0;0;0;1158.88704;0;0;-3457.07454;0;0;0;0;0;0;0;0;0;0;0;0;80.486325;0;0;0;0;0;0;0;0;0;0;0;1714.14408;627.592332;773.792888;111.784584;0;0;0;0;0;0;0
AardGas;2885.18879;1337.81143;1547.37736;0;-1337.81143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206.815899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1948.04384;41.848848;373.632094;42.635019;272.213082;0;0;0;0;0;0
Elektriciteit;8656.02784;1480.89903;7175.12881;0;0;-1158.88703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-322.011989;0;0;0;0;0;0;0;0;0;0;1876.75486;1169.10584;3826.63744;551.535798;770.295045;0;0;0;461.698854;0;0
LokaleOpwekking;320.479039;0;320.479039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320.479039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebouw;1204.83298;0;1204.83298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1204.83298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Onderhoud;6742.59779;0;6742.59779;0;2777.80289;3457.07454;0;0;0;0;0;0;0;0;0;0;0;0;18.304689;258.263487;15.159431;0;0;0;0;0;0;0;0;0;123.309827;54.850679;0;0;0;0;0;0;0;0;0;17.923512;6.417389;5.748379;7.742969;0
Admin;276.815172;0;276.815172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181.214048;15.159431;45.120656;0;3.237167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.923512;6.417389;0;7.742969;0
Comfort;23.610167;381.90393;-358.293762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.968247;0;0;0;0;0;22.64192;0;0;0;0;0;-43.073999;-338.829929;0;0;0;0;0;0;0;0;0
InpandigeDistributie;221.235988;0;221.235988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221.235988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkDistributie;675.669489;0;675.669489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675.669489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PrimairTransport;27.951171;0;27.951171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.951171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Opwekking;1010.90972;0;1010.90972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010.90972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WarmteInkoop;331.023802;0;331.023802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005807;282.150039;0;48.867956;0
InpandigeDistributeur;303.965808;303.965807;1E-06;0;0;0;0;0;0;0;-18.304688;0;0;0;0;0;0;0;0;0;0;303.965808;-285.661117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkDistributeur;2173.0703;2173.0703;0;0;0;0;-206.815898;0;0;0;-258.263486;-181.214047;0;0;0;0;0;0;0;0;0;2173.0703;-872.428139;0;0;0;-183.018288;-471.330434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PrimairTransporteur;76.020609;76.020609;0;0;0;0;0;0;0;0;-15.15943;-15.15943;0;0;0;0;0;0;0;0;0;76.020609;-36.090703;0;0;0;-9.611042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leverancier;5769.97749;4949.18806;820.789433;0;0;0;0;0;0;0;0;-45.120655;0;0;0;0;0;0;-303.965807;-2173.0703;-76.020608;0;1119.24959;0;0;0;0;0;0;-27.74842;0;0;0;0;0;762.075421;1612.30119;1247.62991;77.588149;951.133235;0;-351.81724;-305.393346;-1579.9795;-86.072182;0
KL_p;3399.95744;3055.01595;344.941486;0;0;0;0;0;0;0;0;0;0;-221.235987;-675.669488;-27.95117;-1010.90972;0;285.661118;872.42814;36.090704;-1119.24959;0;900.485324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315.964409;10.408531;957.200926;21.718289;0
KL_e;3568.67573;2885.64278;683.032954;0;-19.529249;-80.486324;0;0;-320.479038;-1204.83297;0;-3.237166;-0.968246;0;0;0;0;0;0;0;0;0;-900.485323;0;0;-355.624449;0;0;0;1209.52084;1580.60121;733.36893;45.184751;0;0;0;0;0;0;0;0;0;0;0;0;0
EmissieRechten;322.01199;0;322.01199;0;0;0;0;322.01199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;4041.13403;0;4041.13403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355.62445;0;0;0;0;0;0;25.895064;0;0;0;0;2822.29453;837.319986;0;0;0;0;0;0;0;0;0
Precario;192.629332;0;192.629332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183.018289;9.611043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EnergieHeffing;9599.32862;0;9599.32862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471.330435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6073.05478;494.581081;1590.82606;296.66763;517.537289;0;0;0;155.331338;0;0
Subsidie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Woning_Eigenaar;1376.95087;1232.16276;144.788109;0;0;0;0;0;0;0;0;0;-22.641919;0;0;0;0;0;0;0;0;27.748421;0;-1209.52084;0;0;0;0;0;0;0;0;0;0;0;1349.20245;0;0;0;0;0;0;0;0;0;0
UitlegWoning_Eigenaar;0;1729.8061;-1729.8061;0;0;0;0;0;0;0;-123.309826;0;0;0;0;0;0;0;0;0;0;0;0;-1580.60121;0;-25.895063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Utiliteit_Eigenaar;770.74532;788.219609;-17.474288;0;0;0;0;0;0;0;-54.850678;0;0;0;0;0;0;0;0;0;0;0;0;-733.368929;0;0;0;0;0;0;0;0;0;0;0;0;0;770.74532;0;0;0;0;0;0;0;0
UitlegUtil_Eigenaar;0;45.184751;-45.18475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.18475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glastuinbouw_Eigenaar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegGlTb_Eigenaar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
