titel;bedrag
[text];[MEUR/Yr]
Woning_Eigenaar_Verrekening;-27.0694179
InpandigeDistributeur_Verrekening;-79.2326024
WijkDistributeur_Verrekening;-1561.6776
PrimairTransporteur_Verrekening;-76.0206091
GeoThermie_Verrekening;-351.817241
RestWarmte_Verrekening;-305.393347
BioWKK_Verrekening;-86.0721826
WijkWKK_Verrekening;0
Admin_GeoThermie;-14.3914919
Admin_RestWarmte;-25.4860453
Admin_BioWKK;-5.24311909
Admin_WijkWKK;0
Woning_Eigenaar_VerrekeningWKO;-0.679003004
InpandigeDistributeur_VerrekeningWKO;-224.733205
WijkDistributeur_VerrekeningWKO;-611.392703
WKO_Verrekening;-1579.9795
KL_p_Aansluitbijdrage_GeoThermie_Woning;6.38433463
KL_p_Aansluitbijdrage_RestWarmte_Woning;5.93348342
KL_p_Aansluitbijdrage_BioWKK_Woning;1.17296078
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;7.27850732
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;6.72852995
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;0.737339549
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;15.1917029
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;16.9412236
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;5.97362529
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;1.85289577
KL_p_Aansluitbijdrage_RestWarmte_UitlegUtil;1.16716216
KL_p_Aansluitbijdrage_BioWKK_UitlegUtil;0.176801554
KL_p_Aansluitbijdrage_WijkWKK_UitlegUtil;0
KL_p_Aansluitbijdrage_GeoThermie_Glastuinbouw;0
KL_p_Aansluitbijdrage_RestWarmte_Glastuinbouw;0
KL_p_Aansluitbijdrage_BioWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_WijkWKK_Glastuinbouw;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegGlTb;0
KL_p_Aansluitbijdrage_RestWarmte_UitlegGlTb;0
KL_p_Aansluitbijdrage_BioWKK_UitlegGlTb;0
KL_p_Aansluitbijdrage_WijkWKK_UitlegGlTb;0
Woning_Gebruiker_Vastrecht_GeoThermie;23.8436891
Woning_Gebruiker_Vastrecht_RestWarmte;65.0712199
Woning_Gebruiker_Vastrecht_BioWKK;4.38067765
Woning_Gebruiker_Vastrecht_WijkWKK;0
UitlegWoning_Gebruiker_Vastrecht_GeoThermie;3.7888579
UitlegWoning_Gebruiker_Vastrecht_RestWarmte;16.2932898
UitlegWoning_Gebruiker_Vastrecht_BioWKK;0.383825233
UitlegWoning_Gebruiker_Vastrecht_WijkWKK;0
Utiliteit_Gebruiker_Vastrecht_GeoThermie;97.4844859
Utiliteit_Gebruiker_Vastrecht_RestWarmte;155.567703
Utiliteit_Gebruiker_Vastrecht_BioWKK;45.773866
Utiliteit_Gebruiker_Vastrecht_WijkWKK;0
UitlegUtil_Gebruiker_Vastrecht_GeoThermie;18.7978858
UitlegUtil_Gebruiker_Vastrecht_RestWarmte;17.9282396
UitlegUtil_Gebruiker_Vastrecht_BioWKK;1.89282207
UitlegUtil_Gebruiker_Vastrecht_WijkWKK;0
Glastuinbouw_Gebruiker_Vastrecht_GeoThermie;0
Glastuinbouw_Gebruiker_Vastrecht_RestWarmte;0
Glastuinbouw_Gebruiker_Vastrecht_BioWKK;0
Glastuinbouw_Gebruiker_Vastrecht_WijkWKK;0
UitlegGlTb_Gebruiker_Vastrecht_GeoThermie;0
UitlegGlTb_Gebruiker_Vastrecht_RestWarmte;0
UitlegGlTb_Gebruiker_Vastrecht_BioWKK;0
UitlegGlTb_Gebruiker_Vastrecht_WijkWKK;0
Woning_Gebruiker_Warmte_GeoThermie;137.103771
Woning_Gebruiker_Warmte_RestWarmte;362.983733
Woning_Gebruiker_Warmte_BioWKK;23.617535
Woning_Gebruiker_Warmte_WijkWKK;0
UitlegWoning_Gebruiker_Warmte_GeoThermie;15.3211914
UitlegWoning_Gebruiker_Warmte_RestWarmte;75.8298539
UitlegWoning_Gebruiker_Warmte_BioWKK;1.89948157
UitlegWoning_Gebruiker_Warmte_WijkWKK;0
Utiliteit_Gebruiker_Warmte_GeoThermie;226.253577
Utiliteit_Gebruiker_Warmte_RestWarmte;336.952842
Utiliteit_Gebruiker_Warmte_BioWKK;101.545173
Utiliteit_Gebruiker_Warmte_WijkWKK;0
UitlegUtil_Gebruiker_Warmte_GeoThermie;14.6409593
UitlegUtil_Gebruiker_Warmte_RestWarmte;14.5948862
UitlegUtil_Gebruiker_Warmte_BioWKK;1.47168624
UitlegUtil_Gebruiker_Warmte_WijkWKK;0
Glastuinbouw_Gebruiker_Warmte_GeoThermie;799.622635
Glastuinbouw_Gebruiker_Warmte_RestWarmte;151.476394
Glastuinbouw_Gebruiker_Warmte_BioWKK;0.0342058908
Glastuinbouw_Gebruiker_Warmte_WijkWKK;0
UitlegGlTb_Gebruiker_Warmte_GeoThermie;0
UitlegGlTb_Gebruiker_Warmte_RestWarmte;0
UitlegGlTb_Gebruiker_Warmte_BioWKK;0
UitlegGlTb_Gebruiker_Warmte_WijkWKK;0
KL_p_Aansluitbijdrage_WKO_Woning;6.85188845
KL_p_Aansluitbijdrage_WKO_UitlegWoning;999.828649
KL_p_Aansluitbijdrage_WKO_Utiliteit;42.6313824
KL_p_Aansluitbijdrage_WKO_UitlegUtil;0.399102771
Woning_Gebruiker_Verbruik_WKO;145.074795
UitlegWoning_Gebruiker_Verbruik_WKO;1498.78469
Utiliteit_Gebruiker_Verbruik_WKO;284.052259
UitlegUtil_Gebruiker_Verbruik_WKO;8.26167012
