titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;0
KL_e_Elektriciteit;0
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;-128.163598
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;-54.8506791
KL_e_Gebouwverbetering;-507.261407
KL_e_Aansluitbijdrage_GeoThermie;-18.4291936
KL_e_Aansluitbijdrage_RestWarmte;-20.5515532
KL_e_Aansluitbijdrage_BioWKK;-7.24665942
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_Aansluitbijdrage_WKO;-51.7165195
Utiliteit_Gebruiker_VergoedingLabelSprong;770.74532
Utiliteit_Gebruiker_VergoedingZonPV;0
Utiliteit_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
